dataset,size,vectors_count
Air-Pressure,19.24,134493
Arade/4,48.95,9657
Basel-Temp,31.14,120
Basel-Wind,38.35,120
Bird-Mig,26.43,17
Btc-Price,44.96,2
Blockchain,53.19,225
City-Temp,22.96,2837
CMS/1,28.14,18140
CMS/9,25.65,18140
CMS/25,57.20,18140
Dew-Temp,32.63,5287
Bio-Temp,18.86,371892
Food-prices,24.64,2002
Gov/10,34.15,137816
Gov/26,9.26,137816
Gov/30,12.92,137816
Gov/31,10.43,137816
Gov/40,9.41,137816
Medicare/1,32.32,9070
Medicare/9,26.02,9070
PM10-dust,13.66,216
NYC/29,28.71,17037
POI-lat,57.49,414
POI-lon,63.19,414
SD-bench,18.78,8
Stocks-DE,13.63,42544
Stocks-UK,16.76,57915
Stocks-USA,12.19,275465
Wind-dir,27.80,194237
