dataset,size,vectors_count
Air-Pressure,22.95,134493
Arade/4,55.56,9657
Basel-Temp,54.12,120
Basel-Wind,54.73,120
Bird-Mig,42.06,17
Btc-Price,48.07,2
Blockchain,58.29,225
City-Temp,46.25,2837
CMS/1,34.77,18140
CMS/9,18.71,18140
CMS/25,59.53,18140
Dew-Temp,51.81,5287
Bio-Temp,46.34,371892
Food-prices,27.98,2002
Gov/10,45.75,137816
Gov/26,2.34,137816
Gov/30,8.86,137816
Gov/31,5.00,137816
Gov/40,2.63,137816
Medicare/1,42.72,9070
Medicare/9,19.08,9070
PM10-dust,24.44,216
NYC/29,29.57,17037
POI-lat,57.70,414
POI-lon,63.36,414
SD-bench,45.29,8
Stocks-DE,42.89,42544
Stocks-UK,31.33,57915
Stocks-USA,34.98,275465
Wind-dir,53.89,194237
