dataset,size
Air-Pressure,14.250052896863126
Arade/4,34.58406355574324
Basel-Temp,36.8469970703125
Basel-Wind,36.71810709635417
Bird-Mig,22.779698988970587
Btc-Price,36.4169921875
Blockchain,41.261119791666665
City-Temp,17.950003235702326
CMS/1,27.711062611976295
CMS/9,14.790311574042171
CMS/25,51.33728778338617
Dew-Temp,20.85453337786079
Bio-Temp,16.658233533273773
Food-prices,17.308489362200298
Gov/10,30.466164734024897
Gov/26,3.1587112541019366
Gov/30,7.167372230285761
Gov/31,4.502273050264937
Gov/40,3.342303183003062
Medicare/1,31.86617809829796
Medicare/9,15.029428662486218
PM10-dust,10.38255027488426
NYC/29,32.04320823336708
POI-lat,61.53370555932971
POI-lon,67.78486611186594
SD-bench,20.410400390625
Stocks-DE,14.411698357509284
Stocks-UK,12.048086146588751
Stocks-USA,12.196386975772784
Wind-dir,25.61865170272013
