dataset,size,vectors_count
Air-Pressure,24.48,134493
Arade/4,58.00,9657
Basel-Temp,60.47,120
Basel-Wind,62.20,120
Bird-Mig,47.82,17
Btc-Price,54.67,2
Blockchain,62.89,225
City-Temp,58.82,2837
CMS/1,37.23,18140
CMS/9,16.01,18140
CMS/25,64.35,18140
Dew-Temp,54.86,5287
Bio-Temp,50.69,371892
Food-prices,38.31,2002
Gov/10,57.45,137816
Gov/26,2.37,137816
Gov/30,10.22,137816
Gov/31,5.61,137816
Gov/40,2.71,137816
Medicare/1,45.49,9070
Medicare/9,16.97,9070
PM10-dust,27.50,216
NYC/29,30.56,17037
POI-lat,65.95,414
POI-lon,66.10,414
SD-bench,50.70,8
Stocks-DE,46.18,42544
Stocks-UK,34.75,57915
Stocks-USA,37.20,275465
Wind-dir,58.14,194237
