dataset,size,vectors_count
Air-Pressure,27.87,134493
Arade/4,59.10,9657
Basel-Temp,36.41,120
Basel-Wind,48.86,120
Bird-Mig,36.08,17
Btc-Price,56.80,2
Blockchain,62.58,225
City-Temp,24.16,2837
CMS/1,36.78,18140
CMS/9,25.97,18140
CMS/25,70.09,18140
Dew-Temp,39.01,5287
Bio-Temp,22.88,371892
Food-prices,28.29,2002
Gov/10,35.84,137816
Gov/26,16.21,137816
Gov/30,19.28,137816
Gov/31,17.07,137816
Gov/40,16.34,137816
Medicare/1,39.91,9070
Medicare/9,26.27,9070
PM10-dust,19.90,216
NYC/29,38.78,17037
POI-lat,71.72,414
POI-lon,75.88,414
SD-bench,22.80,8
Stocks-DE,20.77,42544
Stocks-UK,21.49,57915
Stocks-USA,19.21,275465
Wind-dir,28.14,194237
