dataset,size
Air-Pressure,30.2277
Arade/4,33.6725
Basel-Temp,39.3405
Basel-Wind,35.0561
Bird-Mig,35.2224
Btc-Price,44.0952
Blockchain,39.1187
City-Temp,31.4961
CMS/1,40.717
CMS/9,9.7
CMS/25,63.9107
Dew-Temp,29.5099
Bio-Temp,23.3673
Food-prices,25.4469
Gov/10,35.5563
Gov/26,0.864203
Gov/30,8.2306
Gov/31,2.82752
Gov/40,1.18695
Medicare/1,42.7979
Medicare/9,10.2
PM10-dust,12.9093
NYC/29,64.0004
POI-lat,69.2503
POI-lon,69.2462
SD-bench,30.6101
Stocks-DE,27.7995
Stocks-UK,26.3537
Stocks-USA,26.1213
Wind-dir,31.5006
