benchmark_number,name,iterations,cycles_per_tuple
0,air_sensor_f_fused,3000000,5.4299
0,air_sensor_f,3000000,5.1922
1,arade4_fused,3000000,3.45965
1,arade4,3000000,4.63204
2,basel_temp_f_fused,3000000,3.68688
2,basel_temp_f,3000000,4.74089
3,basel_wind_f_fused,3000000,3.6037
3,basel_wind_f,3000000,4.71144
4,bird_migration_f_fused,3000000,3.56467
4,bird_migration_f,3000000,4.56014
5,bitcoin_f_fused,3000000,3.64717
5,bitcoin_f,3000000,4.74717
6,bitcoin_transactions_f_fused,3000000,3.64015
6,bitcoin_transactions_f,3000000,4.7588
7,city_temperature_f_fused,3000000,3.5301
7,city_temperature_f,3000000,4.52529
8,cms1_fused,3000000,3.7873
8,cms1,3000000,4.91385
9,cms9_fused,3000000,3.53923
9,cms9,3000000,4.51555
10,cms25_fused,3000000,3.74367
10,cms25,3000000,4.87515
11,food_prices_fused,3000000,3.62235
11,food_prices,3000000,4.69655
12,gov10_fused,3000000,3.65237
12,gov10,3000000,4.76616
13,gov26_fused,3000000,0.501208
13,gov26,3000000,3.88891
14,gov30_fused,3000000,0.509926
14,gov30,3000000,3.90446
15,gov31_fused,3000000,0.50336
15,gov31,3000000,3.95155
16,gov40_fused,3000000,0.505728
16,gov40,3000000,3.95028
17,medicare1_fused,3000000,3.74354
17,medicare1,3000000,4.85281
18,medicare9_fused,3000000,3.52862
18,medicare9,3000000,4.51003
19,neon_air_pressure_fused,3000000,3.24981
19,neon_air_pressure,3000000,4.30185
20,neon_bio_temp_c_fused,3000000,3.51983
20,neon_bio_temp_c,3000000,4.50879
21,neon_dew_point_temp_fused,3000000,3.57892
21,neon_dew_point_temp,3000000,4.58457
22,neon_pm10_dust_fused,3000000,3.38266
22,neon_pm10_dust,3000000,4.40388
23,neon_wind_dir_fused,3000000,3.23784
23,neon_wind_dir,3000000,4.32095
24,nyc29_fused,3000000,3.74998
24,nyc29,3000000,4.87682
25,poi_lat_fused,3000000,5.31027
25,poi_lat,3000000,5.43628
26,poi_lon_fused,3000000,3.99858
26,poi_lon,3000000,5.25359
27,ssd_hdd_benchmarks_f_fused,3000000,3.54425
27,ssd_hdd_benchmarks_f,3000000,4.5505
28,stocks_de_fused,3000000,3.54372
28,stocks_de,3000000,4.53256
29,stocks_uk_fused,3000000,3.51056
29,stocks_uk,3000000,4.51019
30,stocks_usa_c_fused,3000000,3.52934
30,stocks_usa_c,3000000,4.52343
