benchmark_number,name,iterations,cycles_per_tuple
0,air_sensor_f_fused,3000000,5.52566
0,air_sensor_f,3000000,5.26645
1,arade4_fused,3000000,3.4605
1,arade4,3000000,4.63257
2,basel_temp_f_fused,3000000,3.68883
2,basel_temp_f,3000000,4.73434
3,basel_wind_f_fused,3000000,3.60715
3,basel_wind_f,3000000,4.76232
4,bird_migration_f_fused,3000000,3.55154
4,bird_migration_f,3000000,4.55979
5,bitcoin_f_fused,3000000,3.64933
5,bitcoin_f,3000000,4.74779
6,bitcoin_transactions_f_fused,3000000,3.68762
6,bitcoin_transactions_f,3000000,4.75721
7,city_temperature_f_fused,3000000,3.53057
7,city_temperature_f,3000000,4.52509
8,cms1_fused,3000000,3.78906
8,cms1,3000000,4.91872
9,cms9_fused,3000000,3.53061
9,cms9,3000000,4.51218
10,cms25_fused,3000000,3.7403
10,cms25,3000000,4.87706
11,food_prices_fused,3000000,3.63079
11,food_prices,3000000,4.69638
12,gov10_fused,3000000,3.65348
12,gov10,3000000,4.88116
13,gov26_fused,3000000,0.501231
13,gov26,3000000,3.88871
14,gov30_fused,3000000,0.509899
14,gov30,3000000,3.91109
15,gov31_fused,3000000,0.503698
15,gov31,3000000,3.95455
16,gov40_fused,3000000,0.505071
16,gov40,3000000,3.94847
17,medicare1_fused,3000000,3.74021
17,medicare1,3000000,4.93967
18,medicare9_fused,3000000,3.50735
18,medicare9,3000000,4.50948
19,neon_air_pressure_fused,3000000,3.23415
19,neon_air_pressure,3000000,4.30181
20,neon_bio_temp_c_fused,3000000,3.51982
20,neon_bio_temp_c,3000000,4.50525
21,neon_dew_point_temp_fused,3000000,3.57973
21,neon_dew_point_temp,3000000,4.58511
22,neon_pm10_dust_fused,3000000,3.35528
22,neon_pm10_dust,3000000,4.39049
23,neon_wind_dir_fused,3000000,3.21794
23,neon_wind_dir,3000000,4.31902
24,nyc29_fused,3000000,3.73152
24,nyc29,3000000,4.87266
25,poi_lat_fused,3000000,5.46704
25,poi_lat,3000000,5.39144
26,poi_lon_fused,3000000,4.01029
26,poi_lon,3000000,5.13161
27,ssd_hdd_benchmarks_f_fused,3000000,3.54425
27,ssd_hdd_benchmarks_f,3000000,4.54575
28,stocks_de_fused,3000000,3.51926
28,stocks_de,3000000,4.52906
29,stocks_uk_fused,3000000,3.51055
29,stocks_uk,3000000,4.50984
30,stocks_usa_c_fused,3000000,3.52935
30,stocks_usa_c,3000000,4.524
