benchmark_number,name,iterations,cycles_per_tuple
0,air_sensor_f_fused,3000000,2.66512
0,air_sensor_f,3000000,3.44832
1,arade4_fused,3000000,1.88421
1,arade4,3000000,2.92449
2,basel_temp_f_fused,3000000,1.99014
2,basel_temp_f,3000000,3.12212
3,basel_wind_f_fused,3000000,1.95842
3,basel_wind_f,3000000,3.16644
4,bird_migration_f_fused,3000000,1.90233
4,bird_migration_f,3000000,2.94014
5,bitcoin_f_fused,3000000,1.984
5,bitcoin_f,3000000,2.99084
6,bitcoin_transactions_f_fused,3000000,1.9744
6,bitcoin_transactions_f,3000000,2.9195
7,city_temperature_f_fused,3000000,1.88194
7,city_temperature_f,3000000,2.95845
8,cms1_fused,3000000,2.06703
8,cms1,3000000,3.26291
9,cms9_fused,3000000,1.85947
9,cms9,3000000,2.9275
10,cms25_fused,3000000,2.05029
10,cms25,3000000,3.19439
11,food_prices_fused,3000000,1.96382
11,food_prices,3000000,3.14076
12,gov10_fused,3000000,1.99476
12,gov10,3000000,3.23388
13,gov26_fused,3000000,0.500021
13,gov26,3000000,2.73015
14,gov30_fused,3000000,0.503933
14,gov30,3000000,2.73613
15,gov31_fused,3000000,0.500997
15,gov31,3000000,2.73255
16,gov40_fused,3000000,0.603501
16,gov40,3000000,2.73238
17,medicare1_fused,3000000,2.06062
17,medicare1,3000000,3.22619
18,medicare9_fused,3000000,1.86285
18,medicare9,3000000,2.93905
19,neon_air_pressure_fused,3000000,1.70606
19,neon_air_pressure,3000000,2.83726
20,neon_bio_temp_c_fused,3000000,1.86583
20,neon_bio_temp_c,3000000,2.92049
21,neon_dew_point_temp_fused,3000000,1.8975
21,neon_dew_point_temp,3000000,2.9535
22,neon_pm10_dust_fused,3000000,1.77831
22,neon_pm10_dust,3000000,2.84092
23,neon_wind_dir_fused,3000000,1.70133
23,neon_wind_dir,3000000,2.82423
24,nyc29_fused,3000000,2.0494
24,nyc29,3000000,3.1862
25,poi_lat_fused,3000000,2.74181
25,poi_lat,3000000,3.57259
26,poi_lon_fused,3000000,2.25432
26,poi_lon,3000000,3.45185
27,ssd_hdd_benchmarks_f_fused,3000000,1.90272
27,ssd_hdd_benchmarks_f,3000000,2.95313
28,stocks_de_fused,3000000,1.86574
28,stocks_de,3000000,2.92497
29,stocks_uk_fused,3000000,1.82689
29,stocks_uk,3000000,2.86139
30,stocks_usa_c_fused,3000000,1.84367
30,stocks_usa_c,3000000,2.91015
