benchmark_number,name,iterations,cycles_per_tuple
1,arade4_encode,300000,2.00765
2,basel_temp_f_encode,300000,2.13862
3,basel_wind_f_encode,300000,2.07267
4,bird_migration_f_encode,300000,2.00562
5,bitcoin_f_encode,300000,2.04599
6,bitcoin_transactions_f_encode,300000,2.04432
7,city_temperature_f_encode,300000,1.98136
8,cms1_encode,300000,2.11394
9,cms9_encode,300000,1.97176
10,cms25_encode,300000,2.05183
11,food_prices_encode,300000,2.111
12,gov10_encode,300000,2.34254
13,gov26_encode,300000,1.6187
14,gov30_encode,300000,1.62877
15,gov31_encode,300000,1.61745
16,gov40_encode,300000,1.61506
17,medicare1_encode,300000,2.15331
18,medicare9_encode,300000,1.97265
19,neon_air_pressure_encode,300000,1.93896
20,neon_bio_temp_c_encode,300000,1.96332
21,neon_dew_point_temp_encode,300000,2.0032
22,neon_pm10_dust_encode,300000,1.88541
23,neon_wind_dir_encode,300000,1.92846
24,nyc29_encode,300000,2.05096
27,ssd_hdd_benchmarks_f_encode,300000,2.00583
28,stocks_de_encode,300000,1.97255
29,stocks_uk_encode,300000,1.98069
30,stocks_usa_c_encode,300000,1.97838
