benchmark_number,name,iterations,cycles_per_tuple
1,arade4_encode,300000,2.42748
2,basel_temp_f_encode,300000,2.56604
3,basel_wind_f_encode,300000,2.51426
4,bird_migration_f_encode,300000,2.43341
5,bitcoin_f_encode,300000,2.50302
6,bitcoin_transactions_f_encode,300000,2.44147
7,city_temperature_f_encode,300000,2.35965
8,cms1_encode,300000,2.55548
9,cms9_encode,300000,2.36876
10,cms25_encode,300000,2.46491
11,food_prices_encode,300000,2.54094
12,gov10_encode,300000,2.75918
13,gov26_encode,300000,1.93522
14,gov30_encode,300000,1.98955
15,gov31_encode,300000,1.97655
16,gov40_encode,300000,1.98246
17,medicare1_encode,300000,2.61874
18,medicare9_encode,300000,2.37824
19,neon_air_pressure_encode,300000,2.3322
20,neon_bio_temp_c_encode,300000,2.32026
21,neon_dew_point_temp_encode,300000,2.43697
22,neon_pm10_dust_encode,300000,2.23132
23,neon_wind_dir_encode,300000,2.27445
24,nyc29_encode,300000,2.46386
27,ssd_hdd_benchmarks_f_encode,300000,2.39474
28,stocks_de_encode,300000,2.37429
29,stocks_uk_encode,300000,2.36125
30,stocks_usa_c_encode,300000,2.36252
