benchmark_number,name,iterations,cycles_per_tuple
1,arade4_encode_simdized,300000,2.30736
2,basel_temp_f_encode_simdized,300000,2.74485
3,basel_wind_f_encode_simdized,300000,2.3573
4,bird_migration_f_encode_simdized,300000,2.22079
5,bitcoin_f_encode_simdized,300000,2.34594
6,bitcoin_transactions_f_encode_simdized,300000,2.35674
7,city_temperature_f_encode_simdized,300000,2.1915
8,cms1_encode_simdized,300000,2.42561
9,cms9_encode_simdized,300000,2.18019
10,cms25_encode_simdized,300000,2.33086
11,food_prices_encode_simdized,300000,2.50103
12,gov10_encode_simdized,300000,2.74566
13,gov26_encode_simdized,300000,1.79042
14,gov30_encode_simdized,300000,1.83271
15,gov31_encode_simdized,300000,1.79123
16,gov40_encode_simdized,300000,1.80605
17,medicare1_encode_simdized,300000,2.67781
18,medicare9_encode_simdized,300000,2.19095
19,neon_air_pressure_encode_simdized,300000,2.17364
20,neon_bio_temp_c_encode_simdized,300000,2.16811
21,neon_dew_point_temp_encode_simdized,300000,2.2736
22,neon_pm10_dust_encode_simdized,300000,2.09247
23,neon_wind_dir_encode_simdized,300000,2.12834
24,nyc29_encode_simdized,300000,2.31336
27,ssd_hdd_benchmarks_f_encode_simdized,300000,2.20627
28,stocks_de_encode_simdized,300000,2.21913
29,stocks_uk_encode_simdized,300000,2.18493
30,stocks_usa_c_encode_simdized,300000,2.1881
