benchmark_number,name,iterations,cycles_per_tuple
0,air_sensor_f_encode,300000,37.1182
0,air_sensor_f_decode,300000,40.8874
1,arade4_encode,300000,40.4516
1,arade4_decode,300000,42.0097
2,basel_temp_f_encode,300000,40.0175
2,basel_temp_f_decode,300000,42.2968
3,basel_wind_f_encode,300000,39.3419
3,basel_wind_f_decode,300000,41.057
4,bird_migration_f_encode,300000,30.6485
4,bird_migration_f_decode,300000,40.2715
5,bitcoin_f_encode,300000,33.6886
5,bitcoin_f_decode,300000,40.8915
6,bitcoin_transactions_f_encode,300000,40.9255
6,bitcoin_transactions_f_decode,300000,36.2518
7,city_temperature_f_encode,300000,36.5124
7,city_temperature_f_decode,300000,41.4059
8,cms1_encode,300000,39.4016
8,cms1_decode,300000,43.4837
9,cms9_encode,300000,28.9921
9,cms9_decode,300000,23.2551
10,cms25_encode,300000,42.2945
10,cms25_decode,300000,44.4238
11,food_prices_encode,300000,21.2625
11,food_prices_decode,300000,24.467
12,gov10_encode,300000,36.277
12,gov10_decode,300000,37.4671
13,gov26_encode,300000,8.60201
13,gov26_decode,300000,8.54531
14,gov30_encode,300000,9.009
14,gov30_decode,300000,9.14438
15,gov31_encode,300000,8.69666
15,gov31_decode,300000,8.8369
16,gov40_encode,300000,8.74503
16,gov40_decode,300000,8.8643
17,medicare1_encode,300000,32.626
17,medicare1_decode,300000,38.9576
18,medicare9_encode,300000,30.1559
18,medicare9_decode,300000,24.116
19,neon_air_pressure_encode,300000,30.7237
19,neon_air_pressure_decode,300000,33.5255
20,neon_bio_temp_c_encode,300000,34.7282
20,neon_bio_temp_c_decode,300000,41.2496
21,neon_dew_point_temp_encode,300000,34.3712
21,neon_dew_point_temp_decode,300000,39.5259
22,neon_pm10_dust_encode,300000,28.0917
22,neon_pm10_dust_decode,300000,35.623
23,neon_wind_dir_encode,300000,40.2993
23,neon_wind_dir_decode,300000,42.7487
24,nyc29_encode,300000,19.2743
24,nyc29_decode,300000,28.9526
25,poi_lat_encode,300000,41.6023
25,poi_lat_decode,300000,41.4973
26,poi_lon_encode,300000,46.3144
26,poi_lon_decode,300000,46.136
27,ssd_hdd_benchmarks_f_encode,300000,35.5111
27,ssd_hdd_benchmarks_f_decode,300000,38.1932
28,stocks_de_encode,300000,33.7291
28,stocks_de_decode,300000,41.9743
29,stocks_uk_encode,300000,27.0914
29,stocks_uk_decode,300000,22.6512
30,stocks_usa_c_encode,300000,23.4359
30,stocks_usa_c_decode,300000,33.1116
