benchmark_number,name,iterations,cycles_per_tuple
0,air_sensor_f_encode,300000,43.3806
0,air_sensor_f_decode,300000,42.9797
1,arade4_encode,300000,44.1109
1,arade4_decode,300000,44.0856
2,basel_temp_f_encode,300000,36.9809
2,basel_temp_f_decode,300000,37.2357
3,basel_wind_f_encode,300000,39.8262
3,basel_wind_f_decode,300000,39.6214
4,bird_migration_f_encode,300000,24.2276
4,bird_migration_f_decode,300000,24.4812
5,bitcoin_f_encode,300000,42.591
5,bitcoin_f_decode,300000,42.0842
6,bitcoin_transactions_f_encode,300000,39.1148
6,bitcoin_transactions_f_decode,300000,39.0715
7,city_temperature_f_encode,300000,23.4144
7,city_temperature_f_decode,300000,23.4175
8,cms1_encode,300000,43.5341
8,cms1_decode,300000,44.0326
9,cms9_encode,300000,23.5568
9,cms9_decode,300000,23.5853
10,cms25_encode,300000,45.4172
10,cms25_decode,300000,45.8729
11,food_prices_encode,300000,22.6938
11,food_prices_decode,300000,22.5042
12,gov10_encode,300000,29.044
12,gov10_decode,300000,28.9446
13,gov26_encode,300000,13.7301
13,gov26_decode,300000,13.7503
14,gov30_encode,300000,14.0004
14,gov30_decode,300000,14.0062
15,gov31_encode,300000,13.8002
15,gov31_decode,300000,13.8025
16,gov40_encode,300000,13.8651
16,gov40_decode,300000,13.8599
17,medicare1_encode,300000,32.0368
17,medicare1_decode,300000,31.7506
18,medicare9_encode,300000,23.74
18,medicare9_decode,300000,23.701
19,neon_air_pressure_encode,300000,34.8336
19,neon_air_pressure_decode,300000,35.1131
20,neon_bio_temp_c_encode,300000,24.874
20,neon_bio_temp_c_decode,300000,25.2467
21,neon_dew_point_temp_encode,300000,37.7593
21,neon_dew_point_temp_decode,300000,37.7552
22,neon_pm10_dust_encode,300000,17.95
22,neon_pm10_dust_decode,300000,18.0811
23,neon_wind_dir_encode,300000,24.963
23,neon_wind_dir_decode,300000,25.0485
24,nyc29_encode,300000,23.2611
24,nyc29_decode,300000,23.2675
25,poi_lat_encode,300000,43.8604
25,poi_lat_decode,300000,43.646
26,poi_lon_encode,300000,47.5153
26,poi_lon_decode,300000,47.2768
27,ssd_hdd_benchmarks_f_encode,300000,23.262
27,ssd_hdd_benchmarks_f_decode,300000,23.2874
28,stocks_de_encode,300000,19.6019
28,stocks_de_decode,300000,19.5828
29,stocks_uk_encode,300000,22.4747
29,stocks_uk_decode,300000,22.4568
30,stocks_usa_c_encode,300000,16.4777
30,stocks_usa_c_decode,300000,16.4284
