benchmark_number,name,iterations,cycles_per_tuple
0,air_sensor_f_fused,300000,0.698698
0,air_sensor_f,300000,1.22077
1,arade4_fused,300000,0.502839
1,arade4,300000,0.937631
2,basel_temp_f_fused,300000,0.610199
2,basel_temp_f,300000,1.10845
3,basel_wind_f_fused,300000,0.582147
3,basel_wind_f,300000,1.04128
4,bird_migration_f_fused,300000,0.528974
4,bird_migration_f,300000,1.00338
5,bitcoin_f_fused,300000,0.665596
5,bitcoin_f,300000,1.16308
6,bitcoin_transactions_f_fused,300000,0.676246
6,bitcoin_transactions_f,300000,1.14415
7,city_temperature_f_fused,300000,0.485712
7,city_temperature_f,300000,0.943532
8,cms1_fused,300000,0.584059
8,cms1,300000,1.10966
9,cms9_fused,300000,0.48499
9,cms9,300000,0.943975
10,cms25_fused,300000,0.579438
10,cms25,300000,1.10932
11,food_prices_fused,300000,0.666548
11,food_prices,300000,1.1186
12,gov10_fused,300000,0.665026
12,gov10,300000,1.14578
13,gov26_fused,300000,0.253739
13,gov26,300000,0.840588
14,gov30_fused,300000,0.547509
14,gov30,300000,1.04648
15,gov31_fused,300000,0.25451
15,gov31,300000,0.840334
16,gov40_fused,300000,0.505667
16,gov40,300000,0.998222
17,medicare1_fused,300000,0.757632
17,medicare1,300000,1.25311
18,medicare9_fused,300000,0.485518
18,medicare9,300000,0.944299
19,neon_air_pressure_fused,300000,0.612937
19,neon_air_pressure,300000,1.04112
20,neon_bio_temp_c_fused,300000,0.48046
20,neon_bio_temp_c,300000,0.927999
21,neon_dew_point_temp_fused,300000,0.494133
21,neon_dew_point_temp,300000,0.961675
22,neon_pm10_dust_fused,300000,0.451521
22,neon_pm10_dust,300000,0.870878
23,neon_wind_dir_fused,300000,0.439133
23,neon_wind_dir,300000,0.883795
24,nyc29_fused,300000,0.551528
24,nyc29,300000,1.10932
25,poi_lat_fused,300000,0.691147
25,poi_lat,300000,1.22097
26,poi_lon_fused,300000,0.583531
26,poi_lon,300000,1.14444
27,ssd_hdd_benchmarks_f_fused,300000,0.49768
27,ssd_hdd_benchmarks_f,300000,0.986739
28,stocks_de_fused,300000,0.481317
28,stocks_de,300000,0.934456
29,stocks_uk_fused,300000,0.483057
29,stocks_uk,300000,0.940566
30,stocks_usa_c_fused,300000,0.477826
30,stocks_usa_c,300000,0.928562
