benchmark_number,name,iterations,cycles_per_tuple
0,air_sensor_f_encode,300000,35.188
0,air_sensor_f_decode,300000,31.2283
1,arade4_encode,300000,31.1906
1,arade4_decode,300000,33.8147
2,basel_temp_f_encode,300000,32.4079
2,basel_temp_f_decode,300000,36.0569
3,basel_wind_f_encode,300000,42.6261
3,basel_wind_f_decode,300000,32.8241
4,bird_migration_f_encode,300000,36.4161
4,bird_migration_f_decode,300000,30.0803
5,bitcoin_f_encode,300000,33.1939
5,bitcoin_f_decode,300000,32.4374
6,bitcoin_transactions_f_encode,300000,41.4405
6,bitcoin_transactions_f_decode,300000,32.0752
7,city_temperature_f_encode,300000,38.2826
7,city_temperature_f_decode,300000,35.2029
8,cms1_encode,300000,33.2101
8,cms1_decode,300000,33.317
9,cms9_encode,300000,22.4721
9,cms9_decode,300000,18.8807
10,cms25_encode,300000,44.7687
10,cms25_decode,300000,33.8109
11,food_prices_encode,300000,22.938
11,food_prices_decode,300000,21.7171
12,gov10_encode,300000,40.4318
12,gov10_decode,300000,35.2551
13,gov26_encode,300000,5.0006
13,gov26_decode,300000,8.32189
14,gov30_encode,300000,6.33516
14,gov30_decode,300000,8.33427
15,gov31_encode,300000,5.87809
15,gov31_decode,300000,8.09264
16,gov40_encode,300000,5.68241
16,gov40_decode,300000,8.13033
17,medicare1_encode,300000,31.6809
17,medicare1_decode,300000,26.8933
18,medicare9_encode,300000,22.6861
18,medicare9_decode,300000,19.0597
19,neon_air_pressure_encode,300000,33.1859
19,neon_air_pressure_decode,300000,30.59
20,neon_bio_temp_c_encode,300000,38.3452
20,neon_bio_temp_c_decode,300000,31.3365
21,neon_dew_point_temp_encode,300000,36.9523
21,neon_dew_point_temp_decode,300000,30.9983
22,neon_pm10_dust_encode,300000,24.5801
22,neon_pm10_dust_decode,300000,23.7097
23,neon_wind_dir_encode,300000,39.4908
23,neon_wind_dir_decode,300000,31.2462
24,nyc29_encode,300000,18.4144
24,nyc29_decode,300000,19.2405
25,poi_lat_encode,300000,38.6296
25,poi_lat_decode,300000,36.0801
26,poi_lon_encode,300000,37.9742
26,poi_lon_decode,300000,36.0724
27,ssd_hdd_benchmarks_f_encode,300000,32.4685
27,ssd_hdd_benchmarks_f_decode,300000,30.7621
28,stocks_de_encode,300000,34.1249
28,stocks_de_decode,300000,30.9398
29,stocks_uk_encode,300000,20.8347
29,stocks_uk_decode,300000,17.4689
30,stocks_usa_c_encode,300000,22.3902
30,stocks_usa_c_decode,300000,22.0491
