benchmark_number,name,iterations,cycles_per_tuple
0,air_sensor_f_encode,300000,16.9687
0,air_sensor_f_decode,300000,8.96163
1,arade4_encode,300000,16.2505
1,arade4_decode,300000,13.6057
2,basel_temp_f_encode,300000,16.3867
2,basel_temp_f_decode,300000,6.69035
3,basel_wind_f_encode,300000,16.1748
3,basel_wind_f_decode,300000,6.17207
4,bird_migration_f_encode,300000,16.4873
4,bird_migration_f_decode,300000,5.64632
5,bitcoin_f_encode,300000,16.2369
5,bitcoin_f_decode,300000,9.60166
6,bitcoin_transactions_f_encode,300000,16.1693
6,bitcoin_transactions_f_decode,300000,6.84054
7,city_temperature_f_encode,300000,18.2067
7,city_temperature_f_decode,300000,4.59164
8,cms1_encode,300000,16.0413
8,cms1_decode,300000,9.98175
9,cms9_encode,300000,17.2076
9,cms9_decode,300000,6.11353
10,cms25_encode,300000,17.7927
10,cms25_decode,300000,6.41941
11,food_prices_encode,300000,16.6694
11,food_prices_decode,300000,5.7952
12,gov10_encode,300000,17.0174
12,gov10_decode,300000,8.73896
13,gov26_encode,300000,16.0542
13,gov26_decode,300000,5.74857
14,gov30_encode,300000,16.3597
14,gov30_decode,300000,6.15269
15,gov31_encode,300000,16.1083
15,gov31_decode,300000,5.80164
16,gov40_encode,300000,16.2253
16,gov40_decode,300000,5.7705
17,medicare1_encode,300000,16.3308
17,medicare1_decode,300000,6.11785
18,medicare9_encode,300000,17.6877
18,medicare9_decode,300000,6.30433
19,neon_air_pressure_encode,300000,15.9799
19,neon_air_pressure_decode,300000,5.2089
20,neon_bio_temp_c_encode,300000,16.6634
20,neon_bio_temp_c_decode,300000,5.06109
21,neon_dew_point_temp_encode,300000,16.4384
21,neon_dew_point_temp_decode,300000,8.04556
22,neon_pm10_dust_encode,300000,17.4099
22,neon_pm10_dust_decode,300000,5.64414
23,neon_wind_dir_encode,300000,16.6258
23,neon_wind_dir_decode,300000,11.2319
24,nyc29_encode,300000,16.5384
24,nyc29_decode,300000,5.67799
25,poi_lat_encode,300000,16.8956
25,poi_lat_decode,300000,6.49472
26,poi_lon_encode,300000,20.2203
26,poi_lon_decode,300000,6.06563
27,ssd_hdd_benchmarks_f_encode,300000,16.5886
27,ssd_hdd_benchmarks_f_decode,300000,6.01322
28,stocks_de_encode,300000,16.8332
28,stocks_de_decode,300000,5.73046
29,stocks_uk_encode,300000,17.3595
29,stocks_uk_decode,300000,5.88792
30,stocks_usa_c_encode,300000,17.18
30,stocks_usa_c_decode,300000,5.91911
