benchmark_number,name,iterations,cycles_per_tuple
8912,air_sensor_f_encode,300000,705.049
0,air_sensor_f_decode,300000,2.5817
4409,arade4_encode,300000,1148.9
1,arade4_decode,300000,2.13847
5452,basel_temp_f_encode,300000,1106.64
2,basel_temp_f_decode,300000,4.0496
4637,basel_wind_f_encode,300000,888.185
3,basel_wind_f_decode,300000,3.1627
3493,bird_migration_f_encode,300000,707.648
4,bird_migration_f_decode,300000,2.37755
5512,bitcoin_f_encode,300000,1288.52
5,bitcoin_f_decode,300000,5.97488
5241,bitcoin_transactions_f_encode,300000,1210.7
6,bitcoin_transactions_f_decode,300000,4.74716
3769,city_temperature_f_encode,300000,829.258
7,city_temperature_f_decode,300000,3.41249
7132,cms1_encode,300000,1197.92
8,cms1_decode,300000,6.86933
1125,cms9_encode,300000,529.308
9,cms9_decode,300000,2.20908
8684,cms25_encode,300000,1057.53
10,cms25_decode,300000,2.34547
2917,food_prices_encode,300000,790.364
11,food_prices_decode,300000,3.2545
4873,gov10_encode,300000,926.034
12,gov10_decode,300000,5.23146
113,gov26_encode,300000,175.191
13,gov26_decode,300000,1.61329
1631,gov30_encode,300000,266.209
14,gov30_decode,300000,2.93666
269,gov31_encode,300000,177.039
15,gov31_decode,300000,2.14516
189,gov40_encode,300000,179.643
16,gov40_decode,300000,1.61722
5040,medicare1_encode,300000,890.624
17,medicare1_decode,300000,5.79265
1197,medicare9_encode,300000,496.417
18,medicare9_decode,300000,1.99021
3953,neon_air_pressure_encode,300000,1070.95
19,neon_air_pressure_decode,300000,2.51748
3457,neon_bio_temp_c_encode,300000,822.386
20,neon_bio_temp_c_decode,300000,2.36109
3697,neon_dew_point_temp_encode,300000,1080.71
21,neon_dew_point_temp_decode,300000,2.41566
2153,neon_pm10_dust_encode,300000,388.765
22,neon_pm10_dust_decode,300000,2.27119
4085,neon_wind_dir_encode,300000,1101.6
23,neon_wind_dir_decode,300000,2.35273
8912,nyc29_encode,300000,361.441
24,nyc29_decode,300000,2.16311
8912,poi_lat_encode,300000,726.743
25,poi_lat_decode,300000,2.16316
8912,poi_lon_encode,300000,700.67
26,poi_lon_decode,300000,2.16802
4185,ssd_hdd_benchmarks_f_encode,300000,393.582
27,ssd_hdd_benchmarks_f_decode,300000,2.25994
3525,stocks_de_encode,300000,640.477
28,stocks_de_decode,300000,2.35811
2161,stocks_uk_encode,300000,432.259
29,stocks_uk_decode,300000,2.14711
3193,stocks_usa_c_encode,300000,377.442
30,stocks_usa_c_decode,300000,2.40222
