benchmark_number,name,iterations,cycles_per_tuple
0,air_sensor_f_fused,3000000,0.735534
0,air_sensor_f,3000000,0.949223
1,arade4_fused,3000000,0.570426
1,arade4,3000000,0.743116
2,basel_temp_f_fused,3000000,0.647168
2,basel_temp_f,3000000,0.862806
3,basel_wind_f_fused,3000000,0.622699
3,basel_wind_f,3000000,0.837296
4,bird_migration_f_fused,3000000,0.587906
4,bird_migration_f,3000000,0.806356
5,bitcoin_f_fused,3000000,0.611326
5,bitcoin_f,3000000,0.827017
6,bitcoin_transactions_f_fused,3000000,0.620234
6,bitcoin_transactions_f,3000000,0.836727
7,city_temperature_f_fused,3000000,0.565403
7,city_temperature_f,3000000,0.785559
8,cms1_fused,3000000,0.668048
8,cms1,3000000,0.879552
9,cms9_fused,3000000,0.563085
9,cms9,3000000,0.778188
10,cms25_fused,3000000,0.645084
10,cms25,3000000,0.868406
11,food_prices_fused,3000000,0.628683
11,food_prices,3000000,0.846963
12,gov10_fused,3000000,0.664927
12,gov10,3000000,0.87745
13,gov26_fused,3000000,0.107984
13,gov26,3000000,0.737592
14,gov30_fused,3000000,0.11277
14,gov30,3000000,0.741204
15,gov31_fused,3000000,0.108781
15,gov31,3000000,0.739146
16,gov40_fused,3000000,0.110798
16,gov40,3000000,0.740706
17,medicare1_fused,3000000,0.667511
17,medicare1,3000000,0.88813
18,medicare9_fused,3000000,0.563542
18,medicare9,3000000,0.779709
19,neon_air_pressure_fused,3000000,0.51365
19,neon_air_pressure,3000000,0.739682
20,neon_bio_temp_c_fused,3000000,0.558796
20,neon_bio_temp_c,3000000,0.780495
21,neon_dew_point_temp_fused,3000000,0.583338
21,neon_dew_point_temp,3000000,0.795917
22,neon_pm10_dust_fused,3000000,0.525261
22,neon_pm10_dust,3000000,0.738134
23,neon_wind_dir_fused,3000000,0.509224
23,neon_wind_dir,3000000,0.744552
24,nyc29_fused,3000000,0.642502
24,nyc29,3000000,0.866106
25,poi_lat_fused,3000000,0.910669
25,poi_lat,3000000,1.06706
26,poi_lon_fused,3000000,0.882752
26,poi_lon,3000000,0.977373
27,ssd_hdd_benchmarks_f_fused,3000000,0.58463
27,ssd_hdd_benchmarks_f,3000000,0.803545
28,stocks_de_fused,3000000,0.56469
28,stocks_de,3000000,0.778704
29,stocks_uk_fused,3000000,0.559863
29,stocks_uk,3000000,0.781873
30,stocks_usa_c_fused,3000000,0.554783
30,stocks_usa_c,3000000,0.776821
0,bw0_fused,3000000,0.107958
0,bw0,3000000,0.737736
1,bw1_fused,3000000,0.539962
1,bw1,3000000,0.75953
2,bw2_fused,3000000,0.538759
2,bw2,3000000,0.758219
3,bw3_fused,3000000,0.543731
3,bw3,3000000,0.763616
4,bw4_fused,3000000,0.533322
4,bw4,3000000,0.753623
5,bw5_fused,3000000,0.550153
5,bw5,3000000,0.77055
6,bw6_fused,3000000,0.548399
6,bw6,3000000,0.76854
7,bw7_fused,3000000,0.554803
7,bw7,3000000,0.775394
8,bw8_fused,3000000,0.525083
8,bw8,3000000,0.739804
9,bw9_fused,3000000,0.560096
9,bw9,3000000,0.779258
10,bw10_fused,3000000,0.55883
10,bw10,3000000,0.77845
11,bw11_fused,3000000,0.565418
11,bw11,3000000,0.785551
12,bw12_fused,3000000,0.553662
12,bw12,3000000,0.772567
13,bw13_fused,3000000,0.570965
13,bw13,3000000,0.790845
14,bw14_fused,3000000,0.56818
14,bw14,3000000,0.787241
15,bw15_fused,3000000,0.576233
15,bw15,3000000,0.797331
16,bw16_fused,3000000,0.509329
16,bw16,3000000,0.737063
17,bw17_fused,3000000,0.584713
17,bw17,3000000,0.802172
18,bw18_fused,3000000,0.578571
18,bw18,3000000,0.796606
19,bw19_fused,3000000,0.587173
19,bw19,3000000,0.805627
20,bw20_fused,3000000,0.573106
20,bw20,3000000,0.790228
21,bw21_fused,3000000,0.59353
21,bw21,3000000,0.810349
22,bw22_fused,3000000,0.588067
22,bw22,3000000,0.807559
23,bw23_fused,3000000,0.598118
23,bw23,3000000,0.815921
24,bw24_fused,3000000,0.564551
24,bw24,3000000,0.737803
25,bw25_fused,3000000,0.603458
25,bw25,3000000,0.823264
26,bw26_fused,3000000,0.597355
26,bw26,3000000,0.818863
27,bw27_fused,3000000,0.607934
27,bw27,3000000,0.828896
28,bw28_fused,3000000,0.592377
28,bw28,3000000,0.813557
29,bw29_fused,3000000,0.614177
29,bw29,3000000,0.834118
30,bw30_fused,3000000,0.607425
30,bw30,3000000,0.82949
31,bw31_fused,3000000,0.619439
31,bw31,3000000,0.837564
32,bw32_fused,3000000,0.473831
32,bw32,3000000,0.738802
