benchmark_number,name,iterations,cycles_per_tuple
1,arade4_encode_simdized,300000,2.38023
2,basel_temp_f_encode_simdized,300000,2.53778
3,basel_wind_f_encode_simdized,300000,2.51468
4,bird_migration_f_encode_simdized,300000,2.40356
5,bitcoin_f_encode_simdized,300000,2.47314
6,bitcoin_transactions_f_encode_simdized,300000,2.43465
7,city_temperature_f_encode_simdized,300000,2.378
8,cms1_encode_simdized,300000,2.53815
9,cms9_encode_simdized,300000,2.33577
10,cms25_encode_simdized,300000,2.44143
11,food_prices_encode_simdized,300000,2.51977
12,gov10_encode_simdized,300000,2.64408
13,gov26_encode_simdized,300000,1.91788
14,gov30_encode_simdized,300000,1.92753
15,gov31_encode_simdized,300000,1.91077
16,gov40_encode_simdized,300000,1.91398
17,medicare1_encode_simdized,300000,2.56369
18,medicare9_encode_simdized,300000,2.34318
19,neon_air_pressure_encode_simdized,300000,2.32268
20,neon_bio_temp_c_encode_simdized,300000,2.33313
21,neon_dew_point_temp_encode_simdized,300000,2.40116
22,neon_pm10_dust_encode_simdized,300000,2.24041
23,neon_wind_dir_encode_simdized,300000,2.29825
24,nyc29_encode_simdized,300000,2.43021
27,ssd_hdd_benchmarks_f_encode_simdized,300000,2.40469
28,stocks_de_encode_simdized,300000,2.33342
29,stocks_uk_encode_simdized,300000,2.37033
30,stocks_usa_c_encode_simdized,300000,2.37109
