benchmark_number,name,iterations,cycles_per_tuple
1,Air-Pressure_encode,300000,8.93326
2,Arade/4_encode,300000,9.09087
3,Basel-Temp_encode,300000,9.14654
4,Basel-Wind_encode,300000,9.12017
5,Bird-Mig_encode,300000,9.03348
6,Btc-Price_encode,300000,9.11252
7,Blockchain_encode,300000,9.16714
8,City-Temp_encode,300000,8.9697
9,CMS/1_encode,300000,9.18945
10,CMS/9_encode,300000,8.96243
11,CMS/25_encode,300000,9.29245
12,Dew-Temp_encode,300000,9.00505
13,Bio-Temp_encode,300000,9.22409
14,Food-prices_encode,300000,9.22037
15,Gov/10_encode,300000,9.58401
16,Gov/26_encode,300000,8.16733
17,Gov/30_encode,300000,8.11225
18,Gov/31_encode,300000,8.12788
19,Gov/40_encode,300000,8.15864
20,Medicare/1_encode,300000,9.29918
21,Medicare/9_encode,300000,8.91696
22,PM10-dust_encode,300000,8.86458
23,NYC/29_encode,300000,9.24754
26,SD-bench_encode,300000,9.07042
27,Stocks-DE_encode,300000,8.96945
28,Stocks-UK_encode,300000,8.92043
29,Stocks-USA_encode,300000,8.95487
30,Wind-dir_encode,300000,8.8603
