benchmark_number,name,iterations,cycles_per_tuple
1,Air-Pressure_encode_simdized,300000,11.9347
2,Arade/4_encode_simdized,300000,11.9353
3,Basel-Temp_encode_simdized,300000,11.934
4,Basel-Wind_encode_simdized,300000,11.4508
5,Bird-Mig_encode_simdized,300000,11.9336
6,Btc-Price_encode_simdized,300000,11.932
7,Blockchain_encode_simdized,300000,11.9348
8,City-Temp_encode_simdized,300000,12.1552
9,CMS/1_encode_simdized,300000,11.9372
10,CMS/9_encode_simdized,300000,8.83881
11,CMS/25_encode_simdized,300000,11.2334
12,Dew-Temp_encode_simdized,300000,11.9342
13,Bio-Temp_encode_simdized,300000,11.9294
14,Food-prices_encode_simdized,300000,11.935
15,Gov/10_encode_simdized,300000,10.4897
16,Gov/26_encode_simdized,300000,8.04305
17,Gov/30_encode_simdized,300000,8.04509
18,Gov/31_encode_simdized,300000,8.0394
19,Gov/40_encode_simdized,300000,8.0382
20,Medicare/1_encode_simdized,300000,11.9321
21,Medicare/9_encode_simdized,300000,8.89843
22,PM10-dust_encode_simdized,300000,11.9311
23,NYC/29_encode_simdized,300000,11.9367
26,SD-bench_encode_simdized,300000,11.6614
27,Stocks-DE_encode_simdized,300000,11.9307
28,Stocks-UK_encode_simdized,300000,11.9143
29,Stocks-USA_encode_simdized,300000,11.9333
30,Wind-dir_encode_simdized,300000,11.93
