benchmark_number,name,iterations,cycles_per_tuple
1,Air-Pressure_encode,300000,30.2269
1,Air-Pressure_decode,300000,36.0599
2,Arade/4_encode,300000,38.9225
2,Arade/4_decode,300000,44.8807
3,Basel-Temp_encode,300000,38.6591
3,Basel-Temp_decode,300000,45.5694
4,Basel-Wind_encode,300000,37.3823
4,Basel-Wind_decode,300000,44.0905
5,Bird-Mig_encode,300000,29.738
5,Bird-Mig_decode,300000,43.2735
6,Btc-Price_encode,300000,33.0903
6,Btc-Price_decode,300000,43.7822
7,Blockchain_encode,300000,39.209
7,Blockchain_decode,300000,39.9596
8,City-Temp_encode,300000,35.1578
8,City-Temp_decode,300000,45.0649
9,CMS/1_encode,300000,38.1512
9,CMS/1_decode,300000,46.9601
10,CMS/9_encode,300000,31.1724
10,CMS/9_decode,300000,29.7995
11,CMS/25_encode,300000,41.5142
11,CMS/25_decode,300000,47.6227
12,Dew-Temp_encode,300000,33.5642
12,Dew-Temp_decode,300000,42.7579
13,Bio-Temp_encode,300000,33.5986
13,Bio-Temp_decode,300000,43.8275
14,Food-prices_encode,300000,20.9138
14,Food-prices_decode,300000,28.215
15,Gov/10_encode,300000,35.7407
15,Gov/10_decode,300000,42.3007
16,Gov/26_encode,300000,7.83057
16,Gov/26_decode,300000,9.68066
17,Gov/30_encode,300000,8.2587
17,Gov/30_decode,300000,10.4593
18,Gov/31_encode,300000,7.96958
18,Gov/31_decode,300000,10.3214
19,Gov/40_encode,300000,7.97882
19,Gov/40_decode,300000,10.3154
20,Medicare/1_encode,300000,30.5215
20,Medicare/1_decode,300000,41.6661
21,Medicare/9_encode,300000,32.6292
21,Medicare/9_decode,300000,30.5302
22,PM10-dust_encode,300000,26.1671
22,PM10-dust_decode,300000,37.2659
23,NYC/29_encode,300000,18.9209
23,NYC/29_decode,300000,30.3685
24,POI-lat_encode,300000,40.63
24,POI-lat_decode,300000,44.82
25,POI-lon_encode,300000,44.5553
25,POI-lon_decode,300000,48.6411
26,SD-bench_encode,300000,33.4625
26,SD-bench_decode,300000,42.5861
27,Stocks-DE_encode,300000,32.6116
27,Stocks-DE_decode,300000,44.1698
28,Stocks-UK_encode,300000,29.4393
28,Stocks-UK_decode,300000,28.5125
29,Stocks-USA_encode,300000,22.2467
29,Stocks-USA_decode,300000,34.8141
30,Wind-dir_encode,300000,39.0056
30,Wind-dir_decode,300000,46.2716
