benchmark_number,name,iterations,cycles_per_tuple
1,Air-Pressure_encode,300000,38.3521
1,Air-Pressure_decode,300000,38.0139
2,Arade/4_encode,300000,47.7062
2,Arade/4_decode,300000,48.1576
3,Basel-Temp_encode,300000,41.4428
3,Basel-Temp_decode,300000,41.378
4,Basel-Wind_encode,300000,43.035
4,Basel-Wind_decode,300000,43.047
5,Bird-Mig_encode,300000,26.7968
5,Bird-Mig_decode,300000,26.9099
6,Btc-Price_encode,300000,46.0107
6,Btc-Price_decode,300000,46.5949
7,Blockchain_encode,300000,43.4144
7,Blockchain_decode,300000,42.8338
8,City-Temp_encode,300000,26.6784
8,City-Temp_decode,300000,26.727
9,CMS/1_encode,300000,47.7588
9,CMS/1_decode,300000,48.1477
10,CMS/9_encode,300000,27.0522
10,CMS/9_decode,300000,27.1345
11,CMS/25_encode,300000,50.1648
11,CMS/25_decode,300000,49.779
12,Dew-Temp_encode,300000,42.0025
12,Dew-Temp_decode,300000,42.2373
13,Bio-Temp_encode,300000,28.0507
13,Bio-Temp_decode,300000,28.1827
14,Food-prices_encode,300000,25.9403
14,Food-prices_decode,300000,25.9899
15,Gov/10_encode,300000,33.0409
15,Gov/10_decode,300000,32.5947
16,Gov/26_encode,300000,15.5
16,Gov/26_decode,300000,15.4852
17,Gov/30_encode,300000,15.7115
17,Gov/30_decode,300000,15.7001
18,Gov/31_encode,300000,15.5587
18,Gov/31_decode,300000,15.5537
19,Gov/40_encode,300000,15.6022
19,Gov/40_decode,300000,15.6086
20,Medicare/1_encode,300000,35.5363
20,Medicare/1_decode,300000,35.3567
21,Medicare/9_encode,300000,27.4565
21,Medicare/9_decode,300000,27.6459
22,PM10-dust_encode,300000,20.2065
22,PM10-dust_decode,300000,20.2379
23,NYC/29_encode,300000,25.677
23,NYC/29_decode,300000,25.3669
24,POI-lat_encode,300000,47.1263
24,POI-lat_decode,300000,46.8199
25,POI-lon_encode,300000,51.2393
25,POI-lon_decode,300000,50.8155
26,SD-bench_encode,300000,25.5343
26,SD-bench_decode,300000,25.887
27,Stocks-DE_encode,300000,21.5461
27,Stocks-DE_decode,300000,21.622
28,Stocks-UK_encode,300000,26.0439
28,Stocks-UK_decode,300000,26.0513
29,Stocks-USA_encode,300000,18.5471
29,Stocks-USA_decode,300000,18.5672
30,Wind-dir_encode,300000,29.5493
30,Wind-dir_decode,300000,29.5044
