dataset,compression_tpc,decompression_tpc
Air-Pressure,0.010066888491148172,0.009256270344684344
Arade/4,0.009039420846374234,0.006598720157839541
Basel-temp,0.009177442330410455,0.006562856831697325
Basel-wind,0.00578891150759431,0.006880226137318739
Bird-migration,0.009289473918684935,0.009350391189771625
Bitcoin-price,0.00929436074109894,0.007095915699564917
Blockchain-tr,0.00995487239676185,0.006182136258175681
City-Temp,0.011469922706352586,0.009238091244634376
CMS/1,0.009173243791127316,0.00538264479473966
CMS/9,0.01375341815589256,0.02910405663616673
CMS/25,0.008105924790632503,0.004726393631710062
Dew-Point-Temp,0.010320754313939447,0.008495999125045697
IR-bio-temp,0.01245505013305293,0.010913158078479306
Food-prices,0.013328906990138252,0.019013159360777684
Gov/10,0.01262151499084887,0.009753039521191614
Gov/26,0.048790328593823054,0.04629160582545355
Gov/30,0.034918472981699644,0.030481788751714502
Gov/31,0.04781479512258293,0.044613797742171266
Gov/40,0.047986651950398376,0.04432031346779232
Medicare/1,0.011065047815698472,0.007386451942068797
Medicare/9,0.013397153307325242,0.03091990256025714
PM10-dust,0.009346749450082641,0.009181274442434124
NYC/29,0.008256944329306706,0.014794350922133851
POI-lat,0.006538878882973172,0.010499968239806673
POI-lon,0.005764603546322363,0.009496911084747066
SD-bench,0.0076600683924416945,0.009800037448874447
Stocks-DE,0.008823033972497046,0.007841045158977988
Stocks-UK,0.013324012386813813,0.029435962378115303
Stocks-USA,0.009363983666578646,0.008472648654146153
Wind-dir,0.009398474553968864,0.007473462314049137
