benchmark_number,name,iterations,cycles_per_tuple
1,Air-Pressure_fused,3000000,0.514161
1,Air-Pressure,3000000,0.501653
2,Arade/4_fused,3000000,0.571578
2,Arade/4,3000000,0.562349
3,Basel-Temp_fused,3000000,0.642787
3,Basel-Temp,3000000,0.639809
4,Basel-Wind_fused,3000000,0.631011
4,Basel-Wind,3000000,0.626091
5,Bird-Mig_fused,3000000,0.588408
5,Bird-Mig,3000000,0.577954
6,Btc-Price_fused,3000000,0.615722
6,Btc-Price,3000000,0.605831
7,Blockchain_fused,3000000,0.626638
7,Blockchain,3000000,0.613725
8,City-Temp_fused,3000000,0.570175
8,City-Temp,3000000,0.562218
9,CMS/1_fused,3000000,0.678479
9,CMS/1,3000000,0.697974
10,CMS/9_fused,3000000,0.565047
10,CMS/9,3000000,0.556941
11,CMS/25_fused,3000000,0.645279
11,CMS/25,3000000,0.635703
12,Dew-Temp_fused,3000000,0.579451
12,Dew-Temp,3000000,0.570351
13,Bio-Temp_fused,3000000,0.562835
13,Bio-Temp,3000000,0.555344
14,Food-prices_fused,3000000,0.624824
14,Food-prices,3000000,0.617847
15,Gov/10_fused,3000000,0.711202
15,Gov/10,3000000,0.690965
16,Gov/26_fused,3000000,0.11202
16,Gov/26,3000000,0.464688
17,Gov/30_fused,3000000,0.116489
17,Gov/30,3000000,0.467463
18,Gov/31_fused,3000000,0.115532
18,Gov/31,3000000,0.466663
19,Gov/40_fused,3000000,0.116784
19,Gov/40,3000000,0.467675
20,Medicare/1_fused,3000000,0.680377
20,Medicare/1,3000000,0.672511
21,Medicare/9_fused,3000000,0.565679
21,Medicare/9,3000000,0.557314
22,PM10-dust_fused,3000000,0.52914
22,PM10-dust,3000000,0.520247
23,NYC/29_fused,3000000,0.64626
23,NYC/29,3000000,0.63144
24,POI-lat_fused,3000000,1.17033
24,POI-lat,3000000,1.71545
25,POI-lon_fused,3000000,1.96593
25,POI-lon,3000000,1.98877
26,SD-bench_fused,3000000,0.585619
26,SD-bench,3000000,0.576339
27,Stocks-DE_fused,3000000,0.566376
27,Stocks-DE,3000000,0.557288
28,Stocks-UK_fused,3000000,0.565307
28,Stocks-UK,3000000,0.558185
29,Stocks-USA_fused,3000000,0.559047
29,Stocks-USA,3000000,0.553232
30,Wind-dir_fused,3000000,0.512019
30,Wind-dir,3000000,0.499245
