benchmark_number,name,iterations,cycles_per_tuple
1,Air-Pressure_encode,300000,33.47
1,Air-Pressure_decode,300000,34.1351
2,Arade/4_encode,300000,34.7573
2,Arade/4_decode,300000,38.1159
3,Basel-Temp_encode,300000,46.6498
3,Basel-Temp_decode,300000,40.3332
4,Basel-Wind_encode,300000,43.8827
4,Basel-Wind_decode,300000,36.8747
5,Bird-Mig_encode,300000,34.1848
5,Bird-Mig_decode,300000,33.5947
6,Btc-Price_encode,300000,37.1608
6,Btc-Price_decode,300000,36.3469
7,Blockchain_encode,300000,44.3781
7,Blockchain_decode,300000,36.2903
8,City-Temp_encode,300000,43.895
8,City-Temp_decode,300000,39.358
9,CMS/1_encode,300000,35.7933
9,CMS/1_decode,300000,37.4957
10,CMS/9_encode,300000,26.6563
10,CMS/9_decode,300000,21.1027
11,CMS/25_encode,300000,48.0311
11,CMS/25_decode,300000,38.098
12,Dew-Temp_encode,300000,35.9474
12,Dew-Temp_decode,300000,34.5987
13,Bio-Temp_encode,300000,36.4469
13,Bio-Temp_decode,300000,35.0179
14,Food-prices_encode,300000,25.803
14,Food-prices_decode,300000,24.1259
15,Gov/10_encode,300000,41.4835
15,Gov/10_decode,300000,38.9691
16,Gov/26_encode,300000,6.91457
16,Gov/26_decode,300000,8.8259
17,Gov/30_encode,300000,7.51682
17,Gov/30_decode,300000,9.21955
18,Gov/31_encode,300000,7.07817
18,Gov/31_decode,300000,8.95243
19,Gov/40_encode,300000,7.07519
19,Gov/40_decode,300000,9.02249
20,Medicare/1_encode,300000,32.1927
20,Medicare/1_decode,300000,30.0938
21,Medicare/9_encode,300000,26.7536
21,Medicare/9_decode,300000,21.176
22,PM10-dust_encode,300000,27.7555
22,PM10-dust_decode,300000,26.2852
23,NYC/29_encode,300000,20.4788
23,NYC/29_decode,300000,21.4216
24,POI-lat_encode,300000,44.735
24,POI-lat_decode,300000,40.6412
25,POI-lon_encode,300000,44.2478
25,POI-lon_decode,300000,40.5726
26,SD-bench_encode,300000,32.1576
26,SD-bench_decode,300000,34.1277
27,Stocks-DE_encode,300000,34.2725
27,Stocks-DE_decode,300000,34.6311
28,Stocks-UK_encode,300000,24.9027
28,Stocks-UK_decode,300000,18.6251
29,Stocks-USA_encode,300000,25.2604
29,Stocks-USA_decode,300000,24.5625
30,Wind-dir_encode,300000,39.1261
30,Wind-dir_decode,300000,35.1452
