benchmark_number,name,iterations,cycles_per_tuple
1,Air-Pressure_encode,300000,16.4937
1,Air-Pressure_decode,300000,6.22782
2,Arade/4_encode,300000,16.9886
2,Arade/4_decode,300000,12.241
3,Basel-Temp_encode,300000,17.2777
3,Basel-Temp_decode,300000,6.4237
4,Basel-Wind_encode,300000,16.3783
4,Basel-Wind_decode,300000,6.807
5,Bird-Mig_encode,300000,16.9993
5,Bird-Mig_decode,300000,6.32742
6,Btc-Price_encode,300000,16.7027
6,Btc-Price_decode,300000,10.1989
7,Blockchain_encode,300000,16.6583
7,Blockchain_decode,300000,8.01184
8,City-Temp_encode,300000,19.4916
8,City-Temp_decode,300000,6.01155
9,CMS/1_encode,300000,16.7604
9,CMS/1_decode,300000,9.18484
10,CMS/9_encode,300000,18.2905
10,CMS/9_decode,300000,7.70842
11,CMS/25_encode,300000,17.4845
11,CMS/25_decode,300000,7.76677
12,Dew-Temp_encode,300000,16.9885
12,Dew-Temp_decode,300000,6.5418
13,Bio-Temp_encode,300000,17.1702
13,Bio-Temp_decode,300000,6.10473
14,Food-prices_encode,300000,17.0722
14,Food-prices_decode,300000,7.04783
15,Gov/10_encode,300000,17.9519
15,Gov/10_decode,300000,7.71957
16,Gov/26_encode,300000,15.7531
16,Gov/26_decode,300000,6.42934
17,Gov/30_encode,300000,16.5574
17,Gov/30_decode,300000,6.75962
18,Gov/31_encode,300000,16.0285
18,Gov/31_decode,300000,6.58713
19,Gov/40_encode,300000,16.4769
19,Gov/40_decode,300000,6.69928
20,Medicare/1_encode,300000,16.5765
20,Medicare/1_decode,300000,6.41963
21,Medicare/9_encode,300000,18.7432
21,Medicare/9_decode,300000,7.76805
22,PM10-dust_encode,300000,17.3727
22,PM10-dust_decode,300000,6.22317
23,NYC/29_encode,300000,17.0023
23,NYC/29_decode,300000,6.41569
24,POI-lat_encode,300000,17.1857
24,POI-lat_decode,300000,7.44217
25,POI-lon_encode,300000,16.2709
25,POI-lon_decode,300000,7.3052
26,SD-bench_encode,300000,16.7311
26,SD-bench_decode,300000,6.28433
27,Stocks-DE_encode,300000,17.1872
27,Stocks-DE_decode,300000,6.36061
28,Stocks-UK_encode,300000,18.3612
28,Stocks-UK_decode,300000,7.72186
29,Stocks-USA_encode,300000,17.3881
29,Stocks-USA_decode,300000,6.32975
30,Wind-dir_encode,300000,18.2826
30,Wind-dir_decode,300000,13.5356
