benchmark_number,name,iterations,cycles_per_tuple
8217,Air-Pressure_encode,300,406.037
1,Air-Pressure_decode,300000,2.42737
8217,Arade/4_encode,300,483.029
2,Arade/4_decode,300000,2.42861
8936,Basel-Temp_encode,300,528.305
3,Basel-Temp_decode,300000,2.45348
8293,Basel-Wind_encode,300,374.355
4,Basel-Wind_decode,300000,2.55883
8217,Bird-Mig_encode,300,270.981
5,Bird-Mig_decode,300000,2.42711
9272,Btc-Price_encode,300,691.232
6,Btc-Price_decode,300000,2.35749
8421,Blockchain_encode,300,501.543
7,Blockchain_decode,300000,2.50715
8217,City-Temp_encode,300,307.377
8,City-Temp_decode,300000,2.75628
10712,CMS/1_encode,300,987.308
9,CMS/1_decode,300000,2.208
8217,CMS/9_encode,300,181.352
10,CMS/9_decode,300000,2.42822
12096,CMS/25_encode,300,1177.43
11,CMS/25_decode,300000,1.81826
8217,Dew-Temp_encode,300,415.543
12,Dew-Temp_decode,300000,2.4277
8217,Bio-Temp_encode,300,283.224
13,Bio-Temp_decode,300000,2.42741
8217,Food-prices_encode,300,266.475
14,Food-prices_decode,300000,2.42731
8881,Gov/10_encode,300,466.635
15,Gov/10_decode,300000,2.41561
8217,Gov/26_encode,300,87.6041
16,Gov/26_decode,300000,2.4278
8217,Gov/30_encode,300,97.9702
17,Gov/30_decode,300000,2.42817
8225,Gov/31_encode,300,107.397
18,Gov/31_decode,300000,2.61429
8217,Gov/40_encode,300,90.9652
19,Gov/40_decode,300000,2.42878
9272,Medicare/1_encode,300,508.301
20,Medicare/1_decode,300000,2.38079
8217,Medicare/9_encode,300,176.336
21,Medicare/9_decode,300000,2.42791
8217,PM10-dust_encode,300,179.883
22,PM10-dust_decode,300000,2.42738
12324,NYC/29_encode,300,451.826
23,NYC/29_decode,300000,1.82404
12324,POI-lat_encode,300,972.543
24,POI-lat_decode,300000,1.82793
12324,POI-lon_encode,300,957.485
25,POI-lon_decode,300000,1.82531
8217,SD-bench_encode,300,181.143
26,SD-bench_decode,300000,2.4311
8217,Stocks-DE_encode,300,234.42
27,Stocks-DE_decode,300000,2.42747
8217,Stocks-UK_encode,300,187.344
28,Stocks-UK_decode,300000,2.42796
8217,Stocks-USA_encode,300,175.968
29,Stocks-USA_decode,300000,2.42774
8217,Wind-dir_encode,300,453.086
30,Wind-dir_decode,300000,2.42759
