benchmark_number,name,iterations,cycles_per_tuple
1,Air-Pressure_fused,3000000,0.515223
1,Air-Pressure,3000000,0.848303
2,Arade/4_fused,3000000,0.574641
2,Arade/4,3000000,0.979187
3,Basel-Temp_fused,3000000,0.633618
3,Basel-Temp,3000000,1.0762
4,Basel-Wind_fused,3000000,0.625785
4,Basel-Wind,3000000,1.0981
5,Bird-Mig_fused,3000000,0.590294
5,Bird-Mig,3000000,1.023
6,Btc-Price_fused,3000000,0.614509
6,Btc-Price,3000000,1.07379
7,Blockchain_fused,3000000,0.619596
7,Blockchain,3000000,1.09064
8,City-Temp_fused,3000000,0.57055
8,City-Temp,3000000,0.992008
9,CMS/1_fused,3000000,0.720813
9,CMS/1,3000000,1.17277
10,CMS/9_fused,3000000,0.565956
10,CMS/9,3000000,0.975618
11,CMS/25_fused,3000000,0.648997
11,CMS/25,3000000,1.16402
12,Dew-Temp_fused,3000000,0.58121
12,Dew-Temp,3000000,1.0024
13,Bio-Temp_fused,3000000,0.563888
13,Bio-Temp,3000000,0.974462
14,Food-prices_fused,3000000,0.611904
14,Food-prices,3000000,1.0273
15,Gov/10_fused,3000000,0.687312
15,Gov/10,3000000,1.14577
16,Gov/26_fused,3000000,0.108805
16,Gov/26,3000000,0.842273
17,Gov/30_fused,3000000,0.112619
17,Gov/30,3000000,0.84518
18,Gov/31_fused,3000000,0.109645
18,Gov/31,3000000,0.844135
19,Gov/40_fused,3000000,0.110545
19,Gov/40,3000000,0.845644
20,Medicare/1_fused,3000000,0.669004
20,Medicare/1,3000000,1.16182
21,Medicare/9_fused,3000000,0.566546
21,Medicare/9,3000000,0.975607
22,PM10-dust_fused,3000000,0.530286
22,PM10-dust,3000000,0.883848
23,NYC/29_fused,3000000,0.650431
23,NYC/29,3000000,1.16275
24,POI-lat_fused,3000000,1.14034
24,POI-lat,3000000,2.06343
25,POI-lon_fused,3000000,1.9619
25,POI-lon,3000000,2.41892
26,SD-bench_fused,3000000,0.587661
26,SD-bench,3000000,1.02186
27,Stocks-DE_fused,3000000,0.566967
27,Stocks-DE,3000000,0.975303
28,Stocks-UK_fused,3000000,0.564576
28,Stocks-UK,3000000,0.979168
29,Stocks-USA_fused,3000000,0.560002
29,Stocks-USA,3000000,0.967434
30,Wind-dir_fused,3000000,0.512282
30,Wind-dir,3000000,0.846595
