benchmark_number,name,iterations,cycles_per_tuple
0,bw0_fused,3000000,0.10894
0,bw0,3000000,0.468521
1,bw1_fused,3000000,0.543699
1,bw1,3000000,0.542294
2,bw2_fused,3000000,0.542747
2,bw2,3000000,0.539334
3,bw3_fused,3000000,0.547792
3,bw3,3000000,0.544672
4,bw4_fused,3000000,0.537326
4,bw4,3000000,0.533116
5,bw5_fused,3000000,0.554487
5,bw5,3000000,0.549413
6,bw6_fused,3000000,0.552496
6,bw6,3000000,0.54747
7,bw7_fused,3000000,0.559274
7,bw7,3000000,0.553849
8,bw8_fused,3000000,0.528535
8,bw8,3000000,0.521941
9,bw9_fused,3000000,0.56397
9,bw9,3000000,0.558992
10,bw10_fused,3000000,0.562876
10,bw10,3000000,0.555536
11,bw11_fused,3000000,0.569839
11,bw11,3000000,0.562924
12,bw12_fused,3000000,0.557426
12,bw12,3000000,0.550677
13,bw13_fused,3000000,0.575972
13,bw13,3000000,0.567246
14,bw14_fused,3000000,0.572239
14,bw14,3000000,0.565008
15,bw15_fused,3000000,0.580486
15,bw15,3000000,0.572391
16,bw16_fused,3000000,0.511498
16,bw16,3000000,0.500932
17,bw17_fused,3000000,0.587061
17,bw17,3000000,0.577179
18,bw18_fused,3000000,0.582695
18,bw18,3000000,0.573643
19,bw19_fused,3000000,0.592846
19,bw19,3000000,0.581348
20,bw20_fused,3000000,0.577277
20,bw20,3000000,0.567635
21,bw21_fused,3000000,0.597043
21,bw21,3000000,0.586364
22,bw22_fused,3000000,0.592417
22,bw22,3000000,0.580833
23,bw23_fused,3000000,0.602872
23,bw23,3000000,0.590852
24,bw24_fused,3000000,0.568636
24,bw24,3000000,0.557159
25,bw25_fused,3000000,0.607903
25,bw25,3000000,0.596017
26,bw26_fused,3000000,0.602158
26,bw26,3000000,0.592573
27,bw27_fused,3000000,0.616802
27,bw27,3000000,0.603404
28,bw28_fused,3000000,0.596941
28,bw28,3000000,0.5858
29,bw29_fused,3000000,0.620728
29,bw29,3000000,0.61523
30,bw30_fused,3000000,0.612596
30,bw30,3000000,0.602989
31,bw31_fused,3000000,0.627551
31,bw31,3000000,0.630089
32,bw32_fused,3000000,0.476896
32,bw32,3000000,0.523685
33,bw33_fused,3000000,0.636321
33,bw33,3000000,0.655438
34,bw34_fused,3000000,0.623852
34,bw34,3000000,0.610782
35,bw35_fused,3000000,0.642673
35,bw35,3000000,0.629048
36,bw36_fused,3000000,0.615954
36,bw36,3000000,0.604272
37,bw37_fused,3000000,0.643697
37,bw37,3000000,0.654945
38,bw38_fused,3000000,0.631993
38,bw38,3000000,0.619532
39,bw39_fused,3000000,0.649464
39,bw39,3000000,0.655396
40,bw40_fused,3000000,0.605801
40,bw40,3000000,0.591259
41,bw41_fused,3000000,0.653811
41,bw41,3000000,0.655524
42,bw42_fused,3000000,0.642091
42,bw42,3000000,0.62885
43,bw43_fused,3000000,0.674786
43,bw43,3000000,0.657363
44,bw44_fused,3000000,0.635113
44,bw44,3000000,0.621234
45,bw45_fused,3000000,0.684122
45,bw45,3000000,0.737341
46,bw46_fused,3000000,0.652426
46,bw46,3000000,0.637407
47,bw47_fused,3000000,0.694808
47,bw47,3000000,0.730464
48,bw48_fused,3000000,0.591207
48,bw48,3000000,0.566651
49,bw49_fused,3000000,0.682895
49,bw49,3000000,0.758196
50,bw50_fused,3000000,0.6642
50,bw50,3000000,0.651605
51,bw51_fused,3000000,0.697805
51,bw51,3000000,0.786652
52,bw52_fused,3000000,0.645182
52,bw52,3000000,0.626272
53,bw53_fused,3000000,0.731275
53,bw53,3000000,0.879674
54,bw54_fused,3000000,0.698563
54,bw54,3000000,0.791599
55,bw55_fused,3000000,0.645422
55,bw55,3000000,0.626472
56,bw56_fused,3000000,0.720914
56,bw56,3000000,0.838012
57,bw57_fused,3000000,0.704748
57,bw57,3000000,0.776786
58,bw58_fused,3000000,0.744645
58,bw58,3000000,0.856903
59,bw59_fused,3000000,0.67456
59,bw59,3000000,0.657342
60,bw60_fused,3000000,0.768703
60,bw60,3000000,0.872003
61,bw61_fused,3000000,0.720749
61,bw61,3000000,0.784931
62,bw62_fused,3000000,0.731597
62,bw62,3000000,0.879574
63,bw63_fused,3000000,1.15154
63,bw63,3000000,1.7207
64,bw64_fused,3000000,1.15155
64,bw64,3000000,1.72034
