benchmark_number,name,iterations,cycles_per_tuple
1,Air-Pressure_encode,2343,125.832
1,Air-Pressure_decode,2343,21.9774
2,Arade/4_encode,2343,151.589
2,Arade/4_decode,2343,27.321
3,Basel-Temp_encode,2343,96.7066
3,Basel-Temp_decode,2343,23.3292
4,Basel-Wind_encode,2343,82.1821
4,Basel-Wind_decode,2343,22.924
5,Bird-Mig_encode,2343,123.875
5,Bird-Mig_decode,2343,24.4137
6,Btc-Price_encode,2343,116.564
6,Btc-Price_decode,2343,21.0669
7,Blockchain_encode,2343,164.389
7,Blockchain_decode,2343,22.2363
8,City-Temp_encode,2343,66.3382
8,City-Temp_decode,2343,23.0486
9,CMS/1_encode,2343,115.486
9,CMS/1_decode,2343,22.8307
10,CMS/9_encode,2343,70.7052
10,CMS/9_decode,2343,31.2864
11,CMS/25_encode,2343,149.693
11,CMS/25_decode,2343,20.8238
12,Dew-Temp_encode,2343,112.314
12,Dew-Temp_decode,2343,23.7169
13,Bio-Temp_encode,2343,65.2039
13,Bio-Temp_decode,2343,23.7542
14,Food-prices_encode,2343,89.8073
14,Food-prices_decode,2343,24.463
15,Gov/10_encode,2343,125.352
15,Gov/10_decode,2343,26.863
16,Gov/26_encode,2343,4.32865
16,Gov/26_decode,2343,2.85329
17,Gov/30_encode,2343,36.8441
17,Gov/30_decode,2343,9.56053
18,Gov/31_encode,2343,9.14347
18,Gov/31_decode,2343,4.47979
19,Gov/40_encode,2343,10.0972
19,Gov/40_decode,2343,4.37254
20,Medicare/1_encode,2343,119.388
20,Medicare/1_decode,2343,23.9599
21,Medicare/9_encode,2343,71.9489
21,Medicare/9_decode,2343,31.7751
22,PM10-dust_encode,2343,48.4702
22,PM10-dust_decode,2343,22.1205
23,NYC/29_encode,2343,117.336
23,NYC/29_decode,2343,22.8328
24,POI-lat_encode,2343,166.573
24,POI-lat_decode,2343,23.1748
25,POI-lon_encode,2343,170.783
25,POI-lon_decode,2343,23.3583
26,SD-bench_encode,2343,122.026
26,SD-bench_decode,2343,25.1349
27,Stocks-DE_encode,2343,56.9698
27,Stocks-DE_decode,2343,20.2492
28,Stocks-UK_encode,2343,62.1347
28,Stocks-UK_decode,2343,23.406
29,Stocks-USA_encode,2343,50.6601
29,Stocks-USA_decode,2343,20.5594
30,Wind-dir_encode,2343,126.737
30,Wind-dir_decode,2343,25.8712
