benchmark_number,name,iterations,cycles_per_tuple
0,air_sensor_f_encode_simdized,300000,8.84598
1,arade4_encode_simdized,300000,8.37173
2,basel_temp_f_encode_simdized,300000,8.63165
3,basel_wind_f_encode_simdized,300000,8.73768
4,bird_migration_f_encode_simdized,300000,8.51327
5,bitcoin_f_encode_simdized,300000,8.60084
6,bitcoin_transactions_f_encode_simdized,300000,8.54
7,city_temperature_f_encode_simdized,300000,8.4418
8,cms1_encode_simdized,300000,8.56009
9,cms9_encode_simdized,300000,8.3335
10,cms25_encode_simdized,300000,8.5332
11,food_prices_encode_simdized,300000,8.62882
12,gov10_encode_simdized,300000,8.86406
13,gov26_encode_simdized,300000,7.22254
14,gov30_encode_simdized,300000,7.17026
15,gov31_encode_simdized,300000,7.15777
16,gov40_encode_simdized,300000,7.16952
17,medicare1_encode_simdized,300000,8.70978
18,medicare9_encode_simdized,300000,8.26711
19,neon_air_pressure_encode_simdized,300000,8.10415
20,neon_bio_temp_c_encode_simdized,300000,8.32454
21,neon_dew_point_temp_encode_simdized,300000,8.42611
22,neon_pm10_dust_encode_simdized,300000,8.21114
23,neon_wind_dir_encode_simdized,300000,8.16675
24,nyc29_encode_simdized,300000,8.5225
25,poi_lat_encode_simdized,300000,9.41257
26,poi_lon_encode_simdized,300000,9.25525
27,ssd_hdd_benchmarks_f_encode_simdized,300000,8.53097
28,stocks_de_encode_simdized,300000,8.28986
29,stocks_uk_encode_simdized,300000,8.52196
30,stocks_usa_c_encode_simdized,300000,8.39713
