benchmark_number,name,iterations,cycles_per_tuple
1,arade4_fused,3000000,3.10851
1,arade4,3000000,3.11517
2,basel_temp_f_fused,3000000,3.12028
2,basel_temp_f,3000000,3.26982
3,basel_wind_f_fused,3000000,3.09247
3,basel_wind_f,3000000,3.28476
4,bird_migration_f_fused,3000000,3.10925
4,bird_migration_f,3000000,3.19056
5,bitcoin_f_fused,3000000,3.12429
5,bitcoin_f,3000000,3.24996
6,bitcoin_transactions_f_fused,3000000,3.10706
6,bitcoin_transactions_f,3000000,3.25144
7,city_temperature_f_fused,3000000,3.02706
7,city_temperature_f,3000000,3.14816
8,cms1_fused,3000000,3.1807
8,cms1,3000000,3.40785
9,cms9_fused,3000000,3.04735
9,cms9,3000000,3.12608
10,cms25_fused,3000000,3.11245
10,cms25,3000000,3.31658
11,food_prices_fused,3000000,3.08201
11,food_prices,3000000,3.26517
12,gov10_fused,3000000,3.14321
12,gov10,3000000,3.32754
13,gov26_fused,3000000,0.500149
13,gov26,3000000,2.82894
14,gov30_fused,3000000,0.506657
14,gov30,3000000,2.82809
15,gov31_fused,3000000,0.501133
15,gov31,3000000,2.82253
16,gov40_fused,3000000,0.504715
16,gov40,3000000,2.82864
17,medicare1_fused,3000000,3.15906
17,medicare1,3000000,3.33292
18,medicare9_fused,3000000,3.05402
18,medicare9,3000000,3.12657
19,neon_air_pressure_fused,3000000,3.33872
19,neon_air_pressure,3000000,2.93629
20,neon_bio_temp_c_fused,3000000,3.05781
20,neon_bio_temp_c,3000000,3.14488
21,neon_dew_point_temp_fused,3000000,3.06939
21,neon_dew_point_temp,3000000,3.17439
22,neon_pm10_dust_fused,3000000,3.20733
22,neon_pm10_dust,3000000,3.02721
23,neon_wind_dir_fused,3000000,3.31208
23,neon_wind_dir,3000000,2.93779
24,nyc29_fused,3000000,3.11899
24,nyc29,3000000,3.31333
27,ssd_hdd_benchmarks_f_fused,3000000,3.09582
27,ssd_hdd_benchmarks_f,3000000,3.18826
28,stocks_de_fused,3000000,3.03518
28,stocks_de,3000000,3.12915
29,stocks_uk_fused,3000000,3.0811
29,stocks_uk,3000000,3.14248
30,stocks_usa_c_fused,3000000,3.14353
30,stocks_usa_c,3000000,3.14589
