benchmark_number,name,iterations,cycles_per_tuple
1,arade4_fused,3000000,3.01443
1,arade4,3000000,3.11251
2,basel_temp_f_fused,3000000,3.00408
2,basel_temp_f,3000000,3.27159
3,basel_wind_f_fused,3000000,3.03308
3,basel_wind_f,3000000,3.27592
4,bird_migration_f_fused,3000000,2.96291
4,bird_migration_f,3000000,3.1926
5,bitcoin_f_fused,3000000,2.95112
5,bitcoin_f,3000000,3.25334
6,bitcoin_transactions_f_fused,3000000,3.21561
6,bitcoin_transactions_f,3000000,3.2532
7,city_temperature_f_fused,3000000,2.98688
7,city_temperature_f,3000000,3.15162
8,cms1_fused,3000000,2.85887
8,cms1,3000000,3.38488
9,cms9_fused,3000000,2.88033
9,cms9,3000000,3.13448
10,cms25_fused,3000000,3.03605
10,cms25,3000000,3.31435
11,food_prices_fused,3000000,3.02071
11,food_prices,3000000,3.26588
12,gov10_fused,3000000,3.07522
12,gov10,3000000,3.34085
13,gov26_fused,3000000,0.500418
13,gov26,3000000,2.82071
14,gov30_fused,3000000,0.509299
14,gov30,3000000,2.82985
15,gov31_fused,3000000,0.503309
15,gov31,3000000,2.82858
16,gov40_fused,3000000,0.50695
16,gov40,3000000,2.82914
17,medicare1_fused,3000000,3.13742
17,medicare1,3000000,3.33423
18,medicare9_fused,3000000,2.89201
18,medicare9,3000000,3.12802
19,neon_air_pressure_fused,3000000,2.87954
19,neon_air_pressure,3000000,2.94052
20,neon_bio_temp_c_fused,3000000,2.84923
20,neon_bio_temp_c,3000000,3.12948
21,neon_dew_point_temp_fused,3000000,2.97439
21,neon_dew_point_temp,3000000,3.17315
22,neon_pm10_dust_fused,3000000,2.97438
22,neon_pm10_dust,3000000,3.02776
23,neon_wind_dir_fused,3000000,2.87482
23,neon_wind_dir,3000000,2.93649
24,nyc29_fused,3000000,3.03591
24,nyc29,3000000,3.31745
27,ssd_hdd_benchmarks_f_fused,3000000,2.9105
27,ssd_hdd_benchmarks_f,3000000,3.18804
28,stocks_de_fused,3000000,2.89496
28,stocks_de,3000000,3.13157
29,stocks_uk_fused,3000000,2.95276
29,stocks_uk,3000000,3.13991
30,stocks_usa_c_fused,3000000,2.98749
30,stocks_usa_c,3000000,3.14015
