benchmark_number,name,iterations,cycles_per_tuple
1,arade4_fused,3000000,2.22901
1,arade4,3000000,3.06908
2,basel_temp_f_fused,3000000,2.38581
2,basel_temp_f,3000000,3.2152
3,basel_wind_f_fused,3000000,2.3379
3,basel_wind_f,3000000,3.22917
4,bird_migration_f_fused,3000000,2.12804
4,bird_migration_f,3000000,3.13741
5,bitcoin_f_fused,3000000,2.28888
5,bitcoin_f,3000000,3.20401
6,bitcoin_transactions_f_fused,3000000,2.35188
6,bitcoin_transactions_f,3000000,3.20649
7,city_temperature_f_fused,3000000,2.12301
7,city_temperature_f,3000000,3.09895
8,cms1_fused,3000000,2.36371
8,cms1,3000000,3.329
9,cms9_fused,3000000,2.21759
9,cms9,3000000,3.07776
10,cms25_fused,3000000,2.359
10,cms25,3000000,3.26137
11,food_prices_fused,3000000,2.28153
11,food_prices,3000000,3.21173
12,gov10_fused,3000000,2.39551
12,gov10,3000000,3.27395
13,gov26_fused,3000000,1.00044
13,gov26,3000000,2.77187
14,gov30_fused,3000000,1.00805
14,gov30,3000000,2.78176
15,gov31_fused,3000000,1.00175
15,gov31,3000000,2.77479
16,gov40_fused,3000000,1.00589
16,gov40,3000000,2.77945
17,medicare1_fused,3000000,2.40907
17,medicare1,3000000,3.2788
18,medicare9_fused,3000000,2.21626
18,medicare9,3000000,3.10709
19,neon_air_pressure_fused,3000000,2.11277
19,neon_air_pressure,3000000,2.88974
20,neon_bio_temp_c_fused,3000000,2.2172
20,neon_bio_temp_c,3000000,3.07627
21,neon_dew_point_temp_fused,3000000,2.09038
21,neon_dew_point_temp,3000000,3.11791
22,neon_pm10_dust_fused,3000000,2.13456
22,neon_pm10_dust,3000000,2.96838
23,neon_wind_dir_fused,3000000,2.10436
23,neon_wind_dir,3000000,2.8836
24,nyc29_fused,3000000,2.36398
24,nyc29,3000000,3.2586
27,ssd_hdd_benchmarks_f_fused,3000000,2.11657
27,ssd_hdd_benchmarks_f,3000000,3.13233
28,stocks_de_fused,3000000,2.22452
28,stocks_de,3000000,3.08412
29,stocks_uk_fused,3000000,2.16014
29,stocks_uk,3000000,3.09142
30,stocks_usa_c_fused,3000000,2.00158
30,stocks_usa_c,3000000,3.07478
