benchmark_number,name,iterations,cycles_per_tuple
0,air_sensor_f_fused,3000000,2.90132
0,air_sensor_f,3000000,1.77651
1,arade4_fused,3000000,2.66948
1,arade4,3000000,1.59806
2,basel_temp_f_fused,3000000,2.77956
2,basel_temp_f,3000000,1.66923
3,basel_wind_f_fused,3000000,2.7787
3,basel_wind_f,3000000,1.6623
4,bird_migration_f_fused,3000000,2.7054
4,bird_migration_f,3000000,1.61496
5,bitcoin_f_fused,3000000,2.76026
5,bitcoin_f,3000000,1.64704
6,bitcoin_transactions_f_fused,3000000,2.78705
6,bitcoin_transactions_f,3000000,1.66038
7,city_temperature_f_fused,3000000,2.67641
7,city_temperature_f,3000000,1.5978
8,cms1_fused,3000000,2.83722
8,cms1,3000000,1.70743
9,cms9_fused,3000000,2.65707
9,cms9,3000000,1.59492
10,cms25_fused,3000000,2.83201
10,cms25,3000000,1.69637
11,food_prices_fused,3000000,2.75846
11,food_prices,3000000,1.65201
12,gov10_fused,3000000,2.91454
12,gov10,3000000,1.80153
13,gov26_fused,3000000,0.371504
13,gov26,3000000,1.58019
14,gov30_fused,3000000,0.374415
14,gov30,3000000,1.58741
15,gov31_fused,3000000,0.371728
15,gov31,3000000,1.58429
16,gov40_fused,3000000,0.372611
16,gov40,3000000,1.58384
17,medicare1_fused,3000000,2.84224
17,medicare1,3000000,1.70676
18,medicare9_fused,3000000,2.65631
18,medicare9,3000000,1.5915
19,neon_air_pressure_fused,3000000,2.54344
19,neon_air_pressure,3000000,1.58334
20,neon_bio_temp_c_fused,3000000,2.65533
20,neon_bio_temp_c,3000000,1.58859
21,neon_dew_point_temp_fused,3000000,2.67996
21,neon_dew_point_temp,3000000,1.60656
22,neon_pm10_dust_fused,3000000,2.56294
22,neon_pm10_dust,3000000,1.58307
23,neon_wind_dir_fused,3000000,2.54271
23,neon_wind_dir,3000000,1.58038
24,nyc29_fused,3000000,2.83194
24,nyc29,3000000,1.69427
25,poi_lat_fused,3000000,3.01528
25,poi_lat,3000000,1.91255
26,poi_lon_fused,3000000,3.01264
26,poi_lon,3000000,1.90676
27,ssd_hdd_benchmarks_f_fused,3000000,2.70166
27,ssd_hdd_benchmarks_f,3000000,1.61143
28,stocks_de_fused,3000000,2.66292
28,stocks_de,3000000,1.59458
29,stocks_uk_fused,3000000,2.65458
29,stocks_uk,3000000,1.58932
30,stocks_usa_c_fused,3000000,2.63371
30,stocks_usa_c,3000000,1.58726
