benchmark_number,name,iterations,cycles_per_tuple
0,air_sensor_f_fused,3000000,2.89534
0,air_sensor_f,3000000,1.77287
1,arade4_fused,3000000,2.66337
1,arade4,3000000,1.59856
2,basel_temp_f_fused,3000000,2.77053
2,basel_temp_f,3000000,1.66851
3,basel_wind_f_fused,3000000,2.77121
3,basel_wind_f,3000000,1.66433
4,bird_migration_f_fused,3000000,2.69844
4,bird_migration_f,3000000,1.61781
5,bitcoin_f_fused,3000000,2.75495
5,bitcoin_f,3000000,1.64731
6,bitcoin_transactions_f_fused,3000000,2.80703
6,bitcoin_transactions_f,3000000,1.6641
7,city_temperature_f_fused,3000000,2.66998
7,city_temperature_f,3000000,1.59303
8,cms1_fused,3000000,2.83312
8,cms1,3000000,1.70266
9,cms9_fused,3000000,2.65092
9,cms9,3000000,1.60329
10,cms25_fused,3000000,2.83054
10,cms25,3000000,1.69795
11,food_prices_fused,3000000,2.76334
11,food_prices,3000000,1.65703
12,gov10_fused,3000000,2.80781
12,gov10,3000000,1.69864
13,gov26_fused,3000000,0.371308
13,gov26,3000000,1.58728
14,gov30_fused,3000000,0.374497
14,gov30,3000000,1.59397
15,gov31_fused,3000000,0.371678
15,gov31,3000000,1.5907
16,gov40_fused,3000000,0.373749
16,gov40,3000000,1.58823
17,medicare1_fused,3000000,2.84118
17,medicare1,3000000,1.71171
18,medicare9_fused,3000000,2.65349
18,medicare9,3000000,1.60143
19,neon_air_pressure_fused,3000000,1.24682
19,neon_air_pressure,3000000,1.58462
20,neon_bio_temp_c_fused,3000000,2.64915
20,neon_bio_temp_c,3000000,1.58949
21,neon_dew_point_temp_fused,3000000,2.67631
21,neon_dew_point_temp,3000000,1.60471
22,neon_pm10_dust_fused,3000000,1.25322
22,neon_pm10_dust,3000000,1.58591
23,neon_wind_dir_fused,3000000,1.24637
23,neon_wind_dir,3000000,1.58475
24,nyc29_fused,3000000,2.83069
24,nyc29,3000000,1.69559
25,poi_lat_fused,3000000,3.02919
25,poi_lat,3000000,1.92582
26,poi_lon_fused,3000000,3.06686
26,poi_lon,3000000,1.91633
27,ssd_hdd_benchmarks_f_fused,3000000,2.70237
27,ssd_hdd_benchmarks_f,3000000,1.61509
28,stocks_de_fused,3000000,2.65821
28,stocks_de,3000000,1.59535
29,stocks_uk_fused,3000000,2.65434
29,stocks_uk,3000000,1.59137
30,stocks_usa_c_fused,3000000,2.63672
30,stocks_usa_c,3000000,1.58866
