benchmark_number,name,iterations,cycles_per_tuple
0,air_sensor_f_fused,3000000,1.24232
0,air_sensor_f,3000000,2.34048
1,arade4_fused,3000000,1.0203
1,arade4,3000000,2.16386
2,basel_temp_f_fused,3000000,1.13238
2,basel_temp_f,3000000,2.22609
3,basel_wind_f_fused,3000000,1.14509
3,basel_wind_f,3000000,2.22993
4,bird_migration_f_fused,3000000,1.09402
4,bird_migration_f,3000000,2.18599
5,bitcoin_f_fused,3000000,1.13982
5,bitcoin_f,3000000,2.21658
6,bitcoin_transactions_f_fused,3000000,1.14926
6,bitcoin_transactions_f,3000000,2.23225
7,city_temperature_f_fused,3000000,1.05311
7,city_temperature_f,3000000,2.16616
8,cms1_fused,3000000,1.19185
8,cms1,3000000,2.2777
9,cms9_fused,3000000,1.04703
9,cms9,3000000,2.17094
10,cms25_fused,3000000,1.1983
10,cms25,3000000,2.272
11,food_prices_fused,3000000,1.13746
11,food_prices,3000000,2.21348
12,gov10_fused,3000000,1.16647
12,gov10,3000000,2.24577
13,gov26_fused,3000000,0.185645
13,gov26,3000000,2.14029
14,gov30_fused,3000000,0.188597
14,gov30,3000000,2.14266
15,gov31_fused,3000000,0.186375
15,gov31,3000000,2.14279
16,gov40_fused,3000000,0.187113
16,gov40,3000000,2.14446
17,medicare1_fused,3000000,1.17946
17,medicare1,3000000,2.26742
18,medicare9_fused,3000000,1.04836
18,medicare9,3000000,2.17203
19,neon_air_pressure_fused,3000000,1.01395
19,neon_air_pressure,3000000,2.16317
20,neon_bio_temp_c_fused,3000000,1.04561
20,neon_bio_temp_c,3000000,2.16989
21,neon_dew_point_temp_fused,3000000,1.07472
21,neon_dew_point_temp,3000000,2.17691
22,neon_pm10_dust_fused,3000000,0.974362
22,neon_pm10_dust,3000000,2.16267
23,neon_wind_dir_fused,3000000,1.01307
23,neon_wind_dir,3000000,2.15834
24,nyc29_fused,3000000,1.20021
24,nyc29,3000000,2.27827
25,poi_lat_fused,3000000,1.34907
25,poi_lat,3000000,2.44453
26,poi_lon_fused,3000000,1.2771
26,poi_lon,3000000,2.42822
27,ssd_hdd_benchmarks_f_fused,3000000,1.09457
27,ssd_hdd_benchmarks_f,3000000,2.18429
28,stocks_de_fused,3000000,1.04637
28,stocks_de,3000000,2.16459
29,stocks_uk_fused,3000000,1.04453
29,stocks_uk,3000000,2.16487
30,stocks_usa_c_fused,3000000,1.05671
30,stocks_usa_c,3000000,2.15959
