benchmark_number,name,iterations,cycles_per_tuple
0,air_sensor_f_fused,300000,0.712891
0,air_sensor_f,300000,1.04608
1,arade4_fused,300000,0.50305
1,arade4,300000,0.807323
2,basel_temp_f_fused,300000,0.530896
2,basel_temp_f,300000,0.925821
3,basel_wind_f_fused,300000,0.478294
3,basel_wind_f,300000,0.883148
4,bird_migration_f_fused,300000,0.528204
4,bird_migration_f,300000,0.865669
5,bitcoin_f_fused,300000,0.689692
5,bitcoin_f,300000,0.991247
6,bitcoin_transactions_f_fused,300000,0.58093
6,bitcoin_transactions_f,300000,0.992974
7,city_temperature_f_fused,300000,0.46024
7,city_temperature_f,300000,0.799294
8,cms1_fused,300000,0.518135
8,cms1,300000,0.948051
9,cms9_fused,300000,0.460172
9,cms9,300000,0.799183
10,cms25_fused,300000,0.512336
10,cms25,300000,0.974005
11,food_prices_fused,300000,0.60797
11,food_prices,300000,0.983582
12,gov10_fused,300000,0.617295
12,gov10,300000,0.980526
13,gov26_fused,300000,0.0928684
13,gov26,300000,0.658075
14,gov30_fused,300000,0.557516
14,gov30,300000,0.881929
15,gov31_fused,300000,0.0938745
15,gov31,300000,0.655787
16,gov40_fused,300000,0.504208
16,gov40,300000,0.83337
17,medicare1_fused,300000,0.752395
17,medicare1,300000,1.09797
18,medicare9_fused,300000,0.460114
18,medicare9,300000,0.799611
19,neon_air_pressure_fused,300000,0.633052
19,neon_air_pressure,300000,0.892029
20,neon_bio_temp_c_fused,300000,0.443757
20,neon_bio_temp_c,300000,0.787927
21,neon_dew_point_temp_fused,300000,0.470721
21,neon_dew_point_temp,300000,0.811622
22,neon_pm10_dust_fused,300000,0.425844
22,neon_pm10_dust,300000,0.742215
23,neon_wind_dir_fused,300000,0.45823
23,neon_wind_dir,300000,0.715707
24,nyc29_fused,300000,0.484059
24,nyc29,300000,0.950653
25,poi_lat_fused,300000,0.580862
25,poi_lat,300000,1.02456
26,poi_lon_fused,300000,0.526686
26,poi_lon,300000,0.98664
27,ssd_hdd_benchmarks_f_fused,300000,0.474549
27,ssd_hdd_benchmarks_f,300000,0.823877
28,stocks_de_fused,300000,0.449022
28,stocks_de,300000,0.789811
29,stocks_uk_fused,300000,0.460805
29,stocks_uk,300000,0.798373
30,stocks_usa_c_fused,300000,0.443708
30,stocks_usa_c,300000,0.787847
