benchmark_number,name,iterations,cycles_per_tuple
0,air_sensor_f_fused,3000000,0.793257
0,air_sensor_f,3000000,1.33114
1,arade4_fused,3000000,0.569469
1,arade4,3000000,0.978004
2,basel_temp_f_fused,3000000,0.647115
2,basel_temp_f,3000000,1.10038
3,basel_wind_f_fused,3000000,0.635952
3,basel_wind_f,3000000,1.09618
4,bird_migration_f_fused,3000000,0.585521
4,bird_migration_f,3000000,1.02182
5,bitcoin_f_fused,3000000,0.612594
5,bitcoin_f,3000000,1.07196
6,bitcoin_transactions_f_fused,3000000,0.616801
6,bitcoin_transactions_f,3000000,1.08706
7,city_temperature_f_fused,3000000,0.565435
7,city_temperature_f,3000000,0.989905
8,cms1_fused,3000000,0.666972
8,cms1,3000000,1.17086
9,cms9_fused,3000000,0.563108
9,cms9,3000000,0.97639
10,cms25_fused,3000000,0.640577
10,cms25,3000000,1.15707
11,food_prices_fused,3000000,0.624783
11,food_prices,3000000,1.08129
12,gov10_fused,3000000,0.676186
12,gov10,3000000,1.13762
13,gov26_fused,3000000,0.108055
13,gov26,3000000,0.833727
14,gov30_fused,3000000,0.111435
14,gov30,3000000,0.836312
15,gov31_fused,3000000,0.108908
15,gov31,3000000,0.836335
16,gov40_fused,3000000,0.109792
16,gov40,3000000,0.838302
17,medicare1_fused,3000000,0.665111
17,medicare1,3000000,1.17772
18,medicare9_fused,3000000,0.567326
18,medicare9,3000000,0.976106
19,neon_air_pressure_fused,3000000,0.513865
19,neon_air_pressure,3000000,0.867196
20,neon_bio_temp_c_fused,3000000,0.558718
20,neon_bio_temp_c,3000000,0.97441
21,neon_dew_point_temp_fused,3000000,0.579757
21,neon_dew_point_temp,3000000,0.999814
22,neon_pm10_dust_fused,3000000,0.525327
22,neon_pm10_dust,3000000,0.883437
23,neon_wind_dir_fused,3000000,0.509356
23,neon_wind_dir,3000000,0.86718
24,nyc29_fused,3000000,0.640688
24,nyc29,3000000,1.15975
25,poi_lat_fused,3000000,0.930615
25,poi_lat,3000000,1.46123
26,poi_lon_fused,3000000,0.882995
26,poi_lon,3000000,1.40789
27,ssd_hdd_benchmarks_f_fused,3000000,0.581742
27,ssd_hdd_benchmarks_f,3000000,1.02073
28,stocks_de_fused,3000000,0.563002
28,stocks_de,3000000,0.976846
29,stocks_uk_fused,3000000,0.559865
29,stocks_uk,3000000,0.977135
30,stocks_usa_c_fused,3000000,0.554831
30,stocks_usa_c,3000000,0.970758
