benchmark_number,name,iterations,cycles_per_tuple
0,air_sensor_f_fused,3000000,0.755931
0,air_sensor_f,3000000,1.52339
1,arade4_fused,3000000,0.581077
1,arade4,3000000,1.13487
2,basel_temp_f_fused,3000000,0.659132
2,basel_temp_f,3000000,1.26027
3,basel_wind_f_fused,3000000,0.652113
3,basel_wind_f,3000000,1.23449
4,bird_migration_f_fused,3000000,0.592453
4,bird_migration_f,3000000,1.15142
5,bitcoin_f_fused,3000000,0.620342
5,bitcoin_f,3000000,1.22688
6,bitcoin_transactions_f_fused,3000000,0.62753
6,bitcoin_transactions_f,3000000,1.23362
7,city_temperature_f_fused,3000000,0.567959
7,city_temperature_f,3000000,1.11211
8,cms1_fused,3000000,0.686547
8,cms1,3000000,1.32294
9,cms9_fused,3000000,0.564495
9,cms9,3000000,1.10781
10,cms25_fused,3000000,0.653321
10,cms25,3000000,1.33992
11,food_prices_fused,3000000,0.644977
11,food_prices,3000000,1.25137
12,gov10_fused,3000000,0.68484
12,gov10,3000000,1.27757
13,gov26_fused,3000000,0.126681
13,gov26,3000000,0.855085
14,gov30_fused,3000000,0.130608
14,gov30,3000000,0.85754
15,gov31_fused,3000000,0.127671
15,gov31,3000000,0.861776
16,gov40_fused,3000000,0.129627
16,gov40,3000000,0.862454
17,medicare1_fused,3000000,0.68763
17,medicare1,3000000,1.34266
18,medicare9_fused,3000000,0.569565
18,medicare9,3000000,1.11179
19,neon_air_pressure_fused,3000000,0.534937
19,neon_air_pressure,3000000,1.01203
20,neon_bio_temp_c_fused,3000000,0.559747
20,neon_bio_temp_c,3000000,1.11398
21,neon_dew_point_temp_fused,3000000,0.592601
21,neon_dew_point_temp,3000000,1.12005
22,neon_pm10_dust_fused,3000000,0.53699
22,neon_pm10_dust,3000000,1.01887
23,neon_wind_dir_fused,3000000,0.528438
23,neon_wind_dir,3000000,1.02057
24,nyc29_fused,3000000,0.652041
24,nyc29,3000000,1.3388
25,poi_lat_fused,3000000,0.936758
25,poi_lat,3000000,1.68481
26,poi_lon_fused,3000000,0.948398
26,poi_lon,3000000,1.63669
27,ssd_hdd_benchmarks_f_fused,3000000,0.588464
27,ssd_hdd_benchmarks_f,3000000,1.14705
28,stocks_de_fused,3000000,0.56686
28,stocks_de,3000000,1.10916
29,stocks_uk_fused,3000000,0.561063
29,stocks_uk,3000000,1.08748
30,stocks_usa_c_fused,3000000,0.550465
30,stocks_usa_c,3000000,1.08826
