benchmark_number,name,iterations,cycles_per_tuple
1,Air-Pressure_fused,3000000,3.21137
1,Air-Pressure,3000000,0.501445
2,Arade/4_fused,3000000,3.34845
2,Arade/4,3000000,0.559359
3,Basel-Temp_fused,3000000,3.44184
3,Basel-Temp,3000000,0.647628
4,Basel-Wind_fused,3000000,3.44574
4,Basel-Wind,3000000,0.625876
5,Bird-Mig_fused,3000000,3.37468
5,Bird-Mig,3000000,0.577556
6,Btc-Price_fused,3000000,3.42224
6,Btc-Price,3000000,0.607025
7,Blockchain_fused,3000000,3.45231
7,Blockchain,3000000,0.615256
8,City-Temp_fused,3000000,3.33958
8,City-Temp,3000000,0.562281
9,CMS/1_fused,3000000,3.50209
9,CMS/1,3000000,0.668767
10,CMS/9_fused,3000000,3.32484
10,CMS/9,3000000,0.556709
11,CMS/25_fused,3000000,3.50007
11,CMS/25,3000000,0.635558
12,Dew-Temp_fused,3000000,3.35789
12,Dew-Temp,3000000,0.569733
13,Bio-Temp_fused,3000000,3.32392
13,Bio-Temp,3000000,0.555212
14,Food-prices_fused,3000000,3.39494
14,Food-prices,3000000,0.617178
15,Gov/10_fused,3000000,3.48623
15,Gov/10,3000000,0.695229
16,Gov/26_fused,3000000,0.419549
16,Gov/26,3000000,0.464249
17,Gov/30_fused,3000000,0.422889
17,Gov/30,3000000,0.466942
18,Gov/31_fused,3000000,0.420349
18,Gov/31,3000000,0.46615
19,Gov/40_fused,3000000,0.421145
19,Gov/40,3000000,0.467013
20,Medicare/1_fused,3000000,3.51459
20,Medicare/1,3000000,0.665249
21,Medicare/9_fused,3000000,3.32574
21,Medicare/9,3000000,0.558239
22,PM10-dust_fused,3000000,3.25268
22,PM10-dust,3000000,0.520411
23,NYC/29_fused,3000000,3.49727
23,NYC/29,3000000,0.631309
24,POI-lat_fused,3000000,1.2926
24,POI-lat,3000000,1.71827
25,POI-lon_fused,3000000,4.40437
25,POI-lon,3000000,1.96223
26,SD-bench_fused,3000000,3.37129
26,SD-bench,3000000,0.576337
27,Stocks-DE_fused,3000000,3.32531
27,Stocks-DE,3000000,0.556981
28,Stocks-UK_fused,3000000,3.33648
28,Stocks-UK,3000000,0.558195
29,Stocks-USA_fused,3000000,3.31633
29,Stocks-USA,3000000,0.553238
30,Wind-dir_fused,3000000,3.20903
30,Wind-dir,3000000,0.499362
